hg19_pos,IMPACT,COUNT
chr6:39490886-39490888,MODIFIER,11.0
chr3:1139249-1139251,MODIFIER,16.0
chr2:50800288-50800290,MODIFIER,15.0
chr5:109423833-109423835,MODIFIER,4.0
chr4:13632115-13632117,MODIFIER,5.0
chr1:107775752-107775754,MODIFIER,14.0
chr8:79720851-79720853,MODIFIER,15.0
chr4:176050344-176050346,MODIFIER,2.0
chr11:46474070-46474072,MODIFIER,14.0
chr5:96233807-96233809,MODIFIER,4.0
chr10:82240065-82240067,MODIFIER,3.0
chr1:14038543-14038545,MODIFIER,5.0
chr2:230742295-230742297,MODIFIER,12.0
chr1:237896738-237896740,MODIFIER,16.0
chr1:211072029-211072031,MODIFIER,15.0
chr5:102241846-102241848,MODIFIER,12.0
chr4:107759274-107759276,MODIFIER,10.0
chr3:194109960-194109962,MODIFIER,5.0
chr3:121485788-121485790,MODIFIER,5.0
chr10:24299635-24299637,MODIFIER,16.0
chr2:155976573-155976575,MODIFIER,5.0
chr6:7906174-7906176,MODIFIER,16.0
chr18:43598553-43598555,MODIFIER,5.0
chr10:29561625-29561627,MODIFIER,5.0
chr6:146983430-146983432,MODIFIER,5.0
chr19:27733671-27733673,MODIFIER,1.0
chr3:53142467-53142469,MODIFIER,4.0
chrX:95428925-95428927,MODIFIER,5.0
chr4:784996-784998,MODIFIER,4.0
chr14:49702624-49702626,MODIFIER,4.0
chr10:3195231-3195233,MODIFIER,10.0
chr12:93187456-93187458,MODIFIER,5.0
chr16:29784239-29784241,MODIFIER,5.0
chr5:82792519-82792521,MODIFIER,11.0
chr14:44037360-44037362,MODIFIER,10.0
chr4:189417432-189417434,MODIFIER,5.0
chr4:188928620-188928622,MODIFIER,5.0
chr11:41418329-41418331,MODIFIER,5.0
chrX:57345907-57345909,MODIFIER,3.0
chr6:107825329-107825331,MODIFIER,15.0
chr15:88525525-88525527,MODIFIER,16.0
chr5:160668651-160668653,MODIFIER,4.0
chr2:71715853-71715855,MODIFIER,12.0
chr2:7513493-7513495,MODIFIER,5.0
chrX:91540887-91540889,MODIFIER,5.0
chrX:6926255-6926257,MODIFIER,5.0
chrX:58435511-58435513,MODIFIER,1.0
chr4:54226772-54226774,MODIFIER,10.0
chrX:86106516-86106518,MODIFIER,5.0
chr7:38639194-38639196,MODIFIER,5.0
chr7:91725652-91725654,MODIFIER,5.0
chr10:33380397-33380399,MODIFIER,5.0
chr10:133316666-133316668,MODIFIER,7.0
chr3:63447169-63447171,MODIFIER,16.0
chr16:48404576-48404578,MODIFIER,4.0
chr1:229308060-229308062,MODIFIER,7.0
chr12:45950918-45950920,MODIFIER,15.0
chr21:34848036-34848038,MODIFIER,5.0
chr7:66703039-66703041,MODIFIER,16.0
chr3:187524572-187524574,MODIFIER,9.0
chr17:67206698-67206700,MODIFIER,5.0
chr5:160249838-160249840,MODIFIER,5.0
chr16:33365425-33365427,MODIFIER,12.0
chr1:212854774-212854776,MODIFIER,2.0
chr13:108625705-108625707,MODIFIER,11.0
chr10:42472577-42472579,MODIFIER,1.0
chr5:172696179-172696181,MODIFIER,15.0
chr18:57756541-57756543,MODIFIER,5.0
chr4:151965878-151965880,MODIFIER,5.0
chr6:93159657-93159659,MODIFIER,5.0
chr3:114937547-114937549,MODIFIER,16.0
chrX:23222556-23222558,MODIFIER,4.0
chr16:78619152-78619154,MODIFIER,16.0
chr12:127997078-127997080,MODIFIER,7.0
chr14:88322746-88322748,MODIFIER,12.0
chr4:81166892-81166894,MODIFIER,14.0
chr8:136045600-136045602,MODIFIER,15.0
chr10:13950685-13950687,MODIFIER,7.0
chr9:86813026-86813028,MODIFIER,5.0
chr1:98736955-98736957,MODIFIER,5.0
chr6:127159184-127159186,MODIFIER,4.0
chr20:37132548-37132550,MODIFIER,5.0
chrX:2364677-2364679,MODIFIER,4.0
chr3:14670803-14670805,MODIFIER,11.0
chr5:27368144-27368146,MODIFIER,5.0
chr5:152458818-152458820,MODIFIER,13.0
chr5:143111894-143111896,MODIFIER,15.0
chr16:74982468-74982470,MODIFIER,16.0
chr7:54782292-54782294,MODIFIER,5.0
chr2:197076526-197076528,MODIFIER,16.0
chr3:69952654-69952656,MODIFIER,5.0
chr10:108508448-108508450,MODIFIER,15.0
chr2:105289706-105289708,MODIFIER,15.0
chr12:90175000-90175002,MODIFIER,16.0
chr2:44867824-44867826,MODIFIER,15.0
chr7:35568928-35568930,MODIFIER,14.0
chr12:83352284-83352286,MODIFIER,5.0
chr15:70025345-70025347,MODIFIER,11.0
chr5:101752267-101752269,MODIFIER,5.0
chr8:3359877-3359879,MODIFIER,5.0
chr6:28422011-28422013,MODIFIER,5.0
chr2:52150321-52150323,MODIFIER,9.0
chr1:177043137-177043139,MODIFIER,16.0
chr11:28805582-28805584,MODIFIER,5.0
chr5:107754954-107754956,MODIFIER,11.0
chr16:5025321-5025323,MODIFIER,2.0
chr1:97787964-97787966,MODIFIER,5.0
chr6:116807811-116807813,MODIFIER,12.0
chr13:45958475-45958477,MODIFIER,4.0
chr2:222302050-222302052,MODIFIER,16.0
chr1:57039068-57039070,MODIFIER,14.0
chr13:20661763-20661765,MODIFIER,16.0
chr3:182250789-182250791,MODIFIER,15.0
chr2:11864745-11864747,MODIFIER,16.0
chr22:45993848-45993850,MODIFIER,14.0
chr4:37570717-37570719,MODIFIER,4.0
chr5:90220425-90220427,MODIFIER,1.0
chr7:128708336-128708338,MODIFIER,12.0
chr1:83115364-83115366,MODIFIER,2.0
chr15:25098750-25098752,MODIFIER,5.0
chr9:129808010-129808012,MODIFIER,12.0
chr6:120325071-120325073,MODIFIER,16.0
chr13:113042950-113042952,MODIFIER,5.0
chr10:134877872-134877874,MODIFIER,3.0
chr6:115727409-115727411,MODIFIER,10.0
chr3:123020623-123020625,MODIFIER,12.0
chr5:36289466-36289468,MODIFIER,5.0
chr9:136077535-136077537,MODIFIER,5.0
chr22:38828970-38828972,MODIFIER,5.0
chr2:111673557-111673559,MODIFIER,11.0
chr21:21145610-21145612,MODIFIER,2.0
chr15:71933815-71933817,MODIFIER,11.0
chr16:78920970-78920972,MODIFIER,7.0
chr4:164072932-164072934,MODIFIER,11.0
chr16:66188707-66188709,MODIFIER,12.0
chr5:94291728-94291730,MODIFIER,5.0
chrX:50336097-50336099,MODIFIER,5.0
chr8:70674582-70674584,MODIFIER,5.0
chrX:6405259-6405261,MODIFIER,5.0
chr5:12600842-12600844,MODIFIER,8.0
chr8:19903455-19903457,MODIFIER,6.0
chr12:11479475-11479477,MODIFIER,5.0
chr8:47489821-47489823,MODIFIER,5.0
chr10:26308401-26308403,MODIFIER,2.0
chr2:115152924-115152926,MODIFIER,2.0
chr1:72666494-72666496,MODIFIER,14.0
chr10:91100808-91100810,MODIFIER,12.0
chr5:101872131-101872133,MODIFIER,2.0
chr4:109362991-109362993,MODIFIER,5.0
chr15:99728221-99728223,MODIFIER,15.0
chr20:52099178-52099180,MODIFIER,5.0
chr7:69114776-69114778,MODIFIER,11.0
chr5:3442138-3442140,MODIFIER,2.0
chr3:176228546-176228548,MODIFIER,5.0
chr11:73526414-73526416,MODIFIER,4.0
chr1:18004996-18004998,MODIFIER,5.0
chr8:130985289-130985291,MODIFIER,15.0
chrX:62551908-62551910,MODIFIER,5.0
chrX:64804797-64804799,MODIFIER,4.0
chr8:109581545-109581547,MODIFIER,4.0
chr6:41766217-41766219,MODIFIER,5.0
chr5:7932013-7932015,MODIFIER,5.0
chrX:57532049-57532051,MODIFIER,4.0
chrX:154313440-154313442,MODIFIER,7.0
chr2:60592249-60592251,MODIFIER,16.0
chr2:124437078-124437080,MODIFIER,12.0
chr8:18471804-18471806,MODIFIER,14.0
chr18:57569555-57569557,MODIFIER,4.0
chr14:47495228-47495230,MODIFIER,12.0
chr2:83044038-83044040,MODIFIER,3.0
chr1:44637874-44637876,MODIFIER,16.0
chr10:19184003-19184005,MODIFIER,10.0
chr19:3336708-3336710,MODIFIER,11.0
chr3:14257937-14257939,MODIFIER,13.0
chr9:2711242-2711244,MODIFIER,12.0
chr13:56237386-56237388,MODIFIER,8.0
chr11:72104080-72104082,MODIFIER,13.0
chr9:69803281-69803283,MODIFIER,2.0
chr4:74935493-74935495,MODIFIER,5.0
chrX:47532170-47532172,MODIFIER,5.0
chr13:66118180-66118182,MODIFIER,8.0
chr2:22552254-22552256,MODIFIER,16.0
chr12:101000271-101000273,MODIFIER,5.0
chr6:31678030-31678032,MODIFIER,16.0
chr12:62293801-62293803,MODIFIER,15.0
chr16:55217712-55217714,MODIFIER,10.0
chr5:133704182-133704184,MODIFIER,2.0
chr10:34452652-34452654,MODIFIER,15.0
chr21:34814699-34814701,MODIFIER,9.0
chr13:62233532-62233534,MODIFIER,5.0
chr5:164697804-164697806,MODIFIER,12.0
chr2:21655191-21655193,MODIFIER,4.0
chr21:36288032-36288034,MODIFIER,15.0
chr18:7802801-7802803,MODIFIER,11.0
chrX:81995877-81995879,MODIFIER,1.0
chr18:41203628-41203630,MODIFIER,5.0
chr5:58228771-58228773,MODIFIER,10.0
chr2:86739146-86739148,MODIFIER,10.0
chr4:158901861-158901863,MODIFIER,16.0
chr1:17565530-17565532,MODIFIER,11.0
chr2:26255036-26255038,MODIFIER,4.0
chr19:48289389-48289391,MODIFIER,4.0
chrX:8024102-8024104,MODIFIER,8.0
chr8:60033386-60033388,MODIFIER,14.0
chr4:44843906-44843908,MODIFIER,11.0
chr7:109888745-109888747,MODIFIER,13.0
chr8:93236490-93236492,MODIFIER,9.0
chr7:41384902-41384904,MODIFIER,15.0
chr1:72747003-72747005,MODIFIER,14.0
chr2:215900910-215900912,MODIFIER,16.0
chr7:136862238-136862240,MODIFIER,2.0
chr13:43789666-43789668,MODIFIER,10.0
chr13:110906071-110906073,MODIFIER,1.0
chr14:52978782-52978784,MODIFIER,16.0
chrX:154973810-154973812,MODIFIER,13.0
chr7:89178424-89178426,MODIFIER,11.0
chr10:126908170-126908172,MODIFIER,14.0
chr8:1814508-1814510,MODIFIER,12.0
chr15:94727518-94727520,MODIFIER,5.0
chr10:23711685-23711687,MODIFIER,4.0
chr2:18001050-18001052,MODIFIER,5.0
chr12:115448342-115448344,MODIFIER,11.0
chr12:115654932-115654934,MODIFIER,8.0
chr3:84923212-84923214,MODIFIER,8.0
chr2:151777119-151777121,MODIFIER,15.0
chr14:46720889-46720891,MODIFIER,11.0
chr11:236598-236600,MODIFIER,12.0
chr2:103170150-103170152,MODIFIER,5.0
chr14:41194856-41194858,MODIFIER,3.0
chr8:22702682-22702684,MODIFIER,15.0
chr7:108325275-108325277,MODIFIER,16.0
chr16:29022251-29022253,MODIFIER,5.0
chr3:68450032-68450034,MODIFIER,12.0
chr8:22638524-22638526,MODIFIER,16.0
chr5:90503108-90503110,MODIFIER,5.0
chr9:73572431-73572433,MODIFIER,16.0
chr7:141141702-141141704,MODIFIER,15.0
chr2:99449755-99449757,MODIFIER,15.0
chr10:19441683-19441685,MODIFIER,5.0
chr1:145991656-145991658,MODIFIER,5.0
chr5:84652177-84652179,MODIFIER,9.0
chr2:184242391-184242393,MODIFIER,16.0
chr4:70139764-70139766,MODIFIER,2.0
chr16:12526470-12526472,MODIFIER,5.0
chr2:9690815-9690817,MODIFIER,5.0
chr12:47383323-47383325,MODIFIER,5.0
chr8:11551199-11551201,MODIFIER,15.0
chr9:22659783-22659785,MODIFIER,2.0
chr10:11797219-11797221,MODIFIER,5.0
chr7:133489729-133489731,MODIFIER,15.0
chr12:52309132-52309134,MODIFIER,16.0
chr6:46675900-46675902,MODIFIER,13.0
chr14:73719422-73719424,MODIFIER,16.0
chr4:68810244-68810246,MODIFIER,16.0
chr11:10821308-10821310,MODIFIER,16.0
chr1:152186442-152186444,MODIFIER,4.0
chr8:99101891-99101893,MODIFIER,15.0
chr2:228754581-228754583,MODIFIER,16.0
chr10:86126923-86126925,MODIFIER,9.0
chr3:189078941-189078943,MODIFIER,4.0
chr18:39852070-39852072,MODIFIER,13.0
chr1:85466909-85466911,MODIFIER,5.0
chr17:56265600-56265602,MODIFIER,3.0
chr3:47581635-47581637,MODIFIER,2.0
chr11:117006454-117006456,MODIFIER,11.0
chr6:100131838-100131840,MODIFIER,16.0
chr18:47570077-47570079,MODIFIER,5.0
chr21:27652786-27652788,MODIFIER,16.0
chr14:81585279-81585281,MODIFIER,2.0
chr4:6006932-6006934,MODIFIER,12.0
chr15:20122414-20122416,MODIFIER,2.0
chr7:111721030-111721032,MODIFIER,13.0
chr3:131322095-131322097,MODIFIER,9.0
chr1:78850832-78850834,MODIFIER,5.0
chr4:90676560-90676562,MODIFIER,14.0
chr2:129129351-129129353,MODIFIER,12.0
chr7:126590741-126590743,MODIFIER,16.0
chr7:42544098-42544100,MODIFIER,7.0
chr4:106665035-106665037,MODIFIER,12.0
chr8:89135080-89135082,MODIFIER,13.0
chr4:1369084-1369086,MODIFIER,11.0
chr3:163768158-163768160,MODIFIER,5.0
chr11:29167972-29167974,MODIFIER,5.0
chr16:246926-246928,MODIFIER,4.0
chr8:131427336-131427338,MODIFIER,13.0
chr16:62452141-62452143,MODIFIER,5.0
chr7:73249733-73249735,MODIFIER,5.0
chrX:45989054-45989056,MODIFIER,8.0
chr7:124584737-124584739,MODIFIER,10.0
chr17:37258982-37258984,MODIFIER,5.0
chr5:44212642-44212644,MODIFIER,5.0
chr7:71939725-71939727,MODIFIER,13.0
chr8:101102379-101102381,MODIFIER,12.0
chr1:144860416-144860418,MODIFIER,16.0
chr4:15236364-15236366,MODIFIER,12.0
chr15:51208700-51208702,MODIFIER,14.0
chr5:153850926-153850928,MODIFIER,12.0
chr9:18658900-18658902,MODIFIER,5.0
chr8:122252222-122252224,MODIFIER,13.0
chr7:89997300-89997302,MODIFIER,4.0
chr20:38527312-38527314,MODIFIER,13.0
chr4:170738958-170738960,MODIFIER,16.0
chr2:191783508-191783510,MODIFIER,5.0
chr21:39403182-39403184,MODIFIER,3.0
chr7:2439006-2439008,MODIFIER,2.0
chr11:102488601-102488603,MODIFIER,11.0
chr10:115058282-115058284,MODIFIER,16.0
chr20:2137861-2137863,MODIFIER,5.0
chr8:8909807-8909809,MODIFIER,11.0
chr13:49784251-49784253,MODIFIER,14.0
chr20:2589086-2589088,MODIFIER,5.0
chr6:42115486-42115488,MODIFIER,5.0
chr3:166008956-166008958,MODIFIER,16.0
chr1:232341279-232341281,MODIFIER,14.0
chr8:15626536-15626538,MODIFIER,5.0
chr3:116203176-116203178,MODIFIER,5.0
chr1:148677028-148677030,MODIFIER,8.0
chr18:15156683-15156685,MODIFIER,4.0
chr14:76352016-76352018,MODIFIER,14.0
chr4:109940723-109940725,MODIFIER,5.0
chr18:6933504-6933506,MODIFIER,4.0
chr2:237013166-237013168,MODIFIER,5.0
chr13:40242684-40242686,MODIFIER,4.0
chr5:12128232-12128234,MODIFIER,4.0
chr13:106847092-106847094,MODIFIER,5.0
chr17:76670560-76670562,MODIFIER,14.0
chr10:38898384-38898386,MODIFIER,16.0
chr5:177696780-177696782,MODIFIER,13.0
chr9:14763957-14763959,MODIFIER,5.0
chr6:81570940-81570942,MODIFIER,12.0
chr16:10842020-10842022,MODIFIER,5.0
chr18:58373990-58373992,MODIFIER,4.0
chr17:28916300-28916302,MODIFIER,3.0
chr14:23158557-23158559,MODIFIER,8.0
chr8:60517146-60517148,MODIFIER,14.0
chr2:201988055-201988057,MODIFIER,5.0
chr18:4012501-4012503,MODIFIER,14.0
chr17:58801614-58801616,MODIFIER,2.0
chr10:102633447-102633449,MODIFIER,16.0
chrX:154498771-154498773,MODIFIER,2.0
chr16:15194196-15194198,MODIFIER,4.0
chr8:14473018-14473020,MODIFIER,6.0
chr8:2308789-2308791,MODIFIER,11.0
chr8:93229501-93229503,MODIFIER,4.0
chr19:37478156-37478158,MODIFIER,12.0
chr5:37546643-37546645,MODIFIER,14.0
chr9:80684110-80684112,MODIFIER,11.0
chr21:41373394-41373396,MODIFIER,12.0
chr2:86319954-86319956,MODIFIER,5.0
chr3:165994063-165994065,MODIFIER,13.0
chr18:75469592-75469594,MODIFIER,11.0
chr8:97501959-97501961,MODIFIER,5.0
chr2:33983696-33983698,MODIFIER,4.0
chr16:26795203-26795205,MODIFIER,9.0
chr10:97364147-97364149,MODIFIER,5.0
chr2:66663090-66663092,MODIFIER,15.0
chr9:33281973-33281975,MODIFIER,10.0
chr9:91949806-91949808,MODIFIER,5.0
chr6:7322404-7322406,MODIFIER,5.0
chr12:41170285-41170287,MODIFIER,12.0
chr5:135799968-135799970,MODIFIER,16.0
chr1:234493121-234493123,MODIFIER,5.0
chr3:195288924-195288926,MODIFIER,5.0
chr5:33028506-33028508,MODIFIER,4.0
chr6:13776718-13776720,MODIFIER,4.0
chr3:51119723-51119725,MODIFIER,5.0
chr3:47478938-47478940,MODIFIER,5.0
chr8:143626029-143626031,MODIFIER,14.0
chr6:10383083-10383085,MODIFIER,13.0
chr11:125956901-125956903,MODIFIER,5.0
chr13:36978712-36978714,MODIFIER,4.0
chr7:90150193-90150195,MODIFIER,13.0
chr8:12279286-12279288,MODIFIER,5.0
chrX:20728543-20728545,MODIFIER,10.0
chr14:39034087-39034089,MODIFIER,5.0
chrX:76427538-76427540,MODIFIER,1.0
chr3:155691575-155691577,MODIFIER,10.0
chr1:78761359-78761361,MODIFIER,5.0
chr7:96103356-96103358,MODIFIER,5.0
chr15:68517291-68517293,MODIFIER,15.0
chr8:117205961-117205963,MODIFIER,16.0
chr1:112149994-112149996,MODIFIER,1.0
chr15:79583918-79583920,MODIFIER,13.0
chr13:77334189-77334191,MODIFIER,16.0
chr5:36818-36820,MODIFIER,1.0
chr12:125795828-125795830,MODIFIER,13.0
chr13:79340891-79340893,MODIFIER,5.0
chr4:160656824-160656826,MODIFIER,12.0
chr2:103940250-103940252,MODIFIER,5.0
chr21:42383129-42383131,MODIFIER,10.0
chr14:90689395-90689397,MODIFIER,5.0
chr15:57179781-57179783,MODIFIER,16.0
chr13:112644146-112644148,MODIFIER,5.0
chr3:184511463-184511465,MODIFIER,5.0
chr2:238623747-238623749,MODIFIER,15.0
chr11:94320178-94320180,MODIFIER,16.0
chr14:33747022-33747024,MODIFIER,16.0
chr6:30483908-30483910,MODIFIER,5.0
chr1:13715464-13715466,MODIFIER,4.0
chr7:9868165-9868167,MODIFIER,8.0
chr8:91461835-91461837,MODIFIER,6.0
chr12:113885567-113885569,MODIFIER,8.0
chr11:23270393-23270395,MODIFIER,5.0
chr7:62470645-62470647,MODIFIER,2.0
chr5:20314054-20314056,MODIFIER,5.0
chr4:90697944-90697946,MODIFIER,4.0
chr11:49094328-49094330,MODIFIER,4.0
chr2:100113230-100113232,MODIFIER,5.0
chr11:5496323-5496325,MODIFIER,9.0
chr6:131136805-131136807,MODIFIER,13.0
chr16:50872816-50872818,MODIFIER,13.0
chr16:89774402-89774404,MODIFIER,16.0
chr7:38905945-38905947,MODIFIER,13.0
chr13:27423256-27423258,MODIFIER,7.0
chrX:139550130-139550132,MODIFIER,11.0
chr17:67871520-67871522,MODIFIER,5.0
chr2:210215321-210215323,MODIFIER,5.0
chr12:52892001-52892003,MODIFIER,13.0
chr7:100265248-100265250,MODIFIER,14.0
chr22:38612334-38612336,MODIFIER,5.0
chr4:139854116-139854118,MODIFIER,2.0
chr17:67797345-67797347,MODIFIER,4.0
chr3:119043287-119043289,MODIFIER,16.0
chr5:135627258-135627260,MODIFIER,4.0
chr1:217851552-217851554,MODIFIER,5.0
chr8:20888292-20888294,MODIFIER,5.0
chr1:110959906-110959908,MODIFIER,15.0
chr12:16297266-16297268,MODIFIER,4.0
chrX:124480173-124480175,MODIFIER,5.0
chr18:60922953-60922955,MODIFIER,14.0
chr20:53467272-53467274,MODIFIER,15.0
chr14:27471481-27471483,MODIFIER,12.0
chrX:88415707-88415709,MODIFIER,2.0
chr16:21004072-21004074,MODIFIER,4.0
chr9:108701868-108701870,MODIFIER,5.0
chr11:50690998-50691000,MODIFIER,2.0
chr3:63649061-63649063,MODIFIER,15.0
chr8:135405534-135405536,MODIFIER,5.0
chr9:137708201-137708203,MODIFIER,14.0
chrX:34994201-34994203,MODIFIER,14.0
chr2:4260470-4260472,MODIFIER,4.0
chr11:19833278-19833280,MODIFIER,16.0
chr8:49038385-49038387,MODIFIER,5.0
chr5:17074473-17074475,MODIFIER,5.0
chr3:2036639-2036641,MODIFIER,11.0
chr5:13317400-13317402,MODIFIER,11.0
chr1:182671646-182671648,MODIFIER,5.0
chr9:116633869-116633871,MODIFIER,12.0
chr8:81972176-81972178,MODIFIER,4.0
chr4:189465286-189465288,MODIFIER,6.0
chr22:45397154-45397156,MODIFIER,15.0
chr5:146788253-146788255,MODIFIER,16.0
chr1:22454592-22454594,MODIFIER,16.0
chr13:62474225-62474227,MODIFIER,5.0
chr9:13799340-13799342,MODIFIER,2.0
chr7:105043355-105043357,MODIFIER,5.0
chr10:73995698-73995700,MODIFIER,15.0
chr9:94940172-94940174,MODIFIER,2.0
chr8:83885244-83885246,MODIFIER,2.0
chr15:66434674-66434676,MODIFIER,14.0
chr4:156167550-156167552,MODIFIER,16.0
chr14:26335292-26335294,MODIFIER,10.0
chr2:61152641-61152643,MODIFIER,4.0
chr6:137697601-137697603,MODIFIER,5.0
chr3:37149991-37149993,MODIFIER,14.0
chr3:65489783-65489785,MODIFIER,12.0
chr3:179767822-179767824,MODIFIER,12.0
chr10:83273390-83273392,MODIFIER,3.0
chr18:70127952-70127954,MODIFIER,16.0
chr19:49005624-49005626,MODIFIER,13.0
chr1:102607972-102607974,MODIFIER,5.0
chr9:77626963-77626965,MODIFIER,11.0
chr8:92098420-92098422,MODIFIER,16.0
chr7:10054876-10054878,MODIFIER,10.0
chr21:32614572-32614574,MODIFIER,5.0
chr5:32609435-32609437,MODIFIER,11.0
chr17:17815753-17815755,MODIFIER,1.0
chr16:52818305-52818307,MODIFIER,15.0
chr13:86683676-86683678,MODIFIER,5.0
chr13:88991447-88991449,MODIFIER,5.0
chr3:186453330-186453332,MODIFIER,4.0
chrX:112360608-112360610,MODIFIER,11.0
chr5:6353773-6353775,MODIFIER,8.0
chr15:68240184-68240186,MODIFIER,12.0
chr1:147791323-147791325,MODIFIER,5.0
chr15:90820520-90820522,MODIFIER,16.0
chr2:184478135-184478137,MODIFIER,13.0
chr17:73971892-73971894,MODIFIER,5.0
chr8:27715292-27715294,MODIFIER,5.0
chr5:15787652-15787654,MODIFIER,11.0
chr18:52624738-52624740,MODIFIER,11.0
chr6:50372348-50372350,MODIFIER,16.0
chr21:41757740-41757742,MODIFIER,10.0
chr5:13021023-13021025,MODIFIER,16.0
chr4:127728537-127728539,MODIFIER,16.0
chr21:41258295-41258297,MODIFIER,4.0
chr3:170123990-170123992,MODIFIER,5.0
chr12:37885136-37885138,MODIFIER,5.0
chr11:16328416-16328418,MODIFIER,5.0
chr1:119107673-119107675,MODIFIER,10.0
chr5:22915861-22915863,MODIFIER,5.0
chr9:87890249-87890251,MODIFIER,11.0
chr6:69492262-69492264,MODIFIER,2.0
chr21:32889744-32889746,MODIFIER,12.0
chr9:83521407-83521409,MODIFIER,10.0
chr4:3843074-3843076,MODIFIER,5.0
chr7:24635444-24635446,MODIFIER,12.0
chr5:97830896-97830898,MODIFIER,3.0
chr4:78558965-78558967,MODIFIER,5.0
chr5:117163066-117163068,MODIFIER,2.0
chr5:53528201-53528203,MODIFIER,11.0
chrX:21517336-21517338,MODIFIER,15.0
chr1:161484782-161484784,MODIFIER,5.0
chr3:31422510-31422512,MODIFIER,12.0
chr9:118097317-118097319,MODIFIER,15.0
chr2:32174193-32174195,MODIFIER,3.0
chr11:68842086-68842088,MODIFIER,5.0
