species	species_loc	hg19_loc_original	hg19_loc	nh/h_ratio
C57B6J	11:104335274-104335275	chr17:44109187-44109189	chr17:44109188-44109189	0.5
C57B6J	11:104335274-104335275	chr17:44109187-44109189	chr17_ctg5_hap1:758787-758788	0.5
C57B6J	9:123965659-123965661	chr3:46246952-46246954	chr3:46246952-46246954	2.0
C57B6J	9:123979633-123979635	chr3:46246952-46246954	chr3:46246952-46246954	2.0
C57B6J	9:123969343-123969344	chr3:46250583-46250585	chr3:46250583-46250584	1.0
C57B6J	9:123969345-123969346	chr3:46250583-46250585	chr3:46250584-46250585	1.0
C57B6J	6:39023401-39023402	chr7:139657885-139657887	chr7:139657885-139657886	1.0
C57B6J	6:39023409-39023410	chr7:139657885-139657887	chr7:139657886-139657887	1.0
C57B6J	3:94697398-94697400	chr1:151341569-151341571	chr1:151341569-151341571	2.0
C57B6J	3:94937301-94937303	chr1:151341569-151341571	chr1:151341569-151341571	2.0
C57B6J	15:38577810-38577812	chr12:113357441-113357443	chr12:113357441-113357443	9.0
C57B6J	5:120786831-120786833	chr12:113357441-113357443	chr12:113357441-113357443	9.0
C57B6J	5:120800956-120800958	chr12:113357441-113357443	chr12:113357441-113357443	9.0
C57B6J	5:120823721-120823723	chr12:113357441-113357443	chr12:113357441-113357443	9.0
C57B6J	5:120857704-120857706	chr12:113357441-113357443	chr12:113357441-113357443	9.0
C57B6J	5:120873021-120873023	chr12:113357441-113357443	chr12:113357441-113357443	9.0
C57B6J	5:120921141-120921143	chr12:113357441-113357443	chr12:113357441-113357443	9.0
C57B6J	5:120926563-120926565	chr12:113357441-113357443	chr12:113357441-113357443	9.0
C57B6J	6:18295309-18295311	chr12:113357441-113357443	chr12:113357441-113357443	9.0
C57B6J	1:63267658-63267660	chr14:28735075-28735077	chr10:133781292-133781294	2.5
C57B6J	1:63267658-63267660	chr14:28735075-28735077	chr14:28735075-28735077	2.5
C57B6J	14:44266249-44266251	chr14:28735075-28735077	chr10:133781292-133781294	2.5
C57B6J	14:44266249-44266251	chr14:28735075-28735077	chr14:28735075-28735077	2.5
C57B6J	14:44597872-44597874	chr14:28735075-28735077	chr10:133781292-133781294	2.5
C57B6J	14:44597872-44597874	chr14:28735075-28735077	chr14:28735075-28735077	2.5
C57B6J	3:144729096-144729098	chr14:28735075-28735077	chr10:133781292-133781294	2.5
C57B6J	3:144729096-144729098	chr14:28735075-28735077	chr14:28735075-28735077	2.5
C57B6J	7:138891237-138891239	chr14:28735075-28735077	chr10:133781292-133781294	2.5
C57B6J	7:138891237-138891239	chr14:28735075-28735077	chr14:28735075-28735077	2.5
C57B6J	11:104115757-104115758	chr17:43846667-43846669	chr17:43846667-43846668	0.5
C57B6J	11:104115757-104115758	chr17:43846667-43846669	chr17_ctg5_hap1:1020900-1020901	0.5
C57B6J	11:104116137-104116138	chr17:43846667-43846669	chr17:43846668-43846669	0.5
C57B6J	11:104116137-104116138	chr17:43846667-43846669	chr17_ctg5_hap1:1020899-1020900	0.5
C57B6J	11:104172689-104172690	chr17:43910261-43910263	chr17:43910261-43910262	0.5
C57B6J	11:104172689-104172690	chr17:43910261-43910263	chr17_ctg5_hap1:957247-957248	0.5
C57B6J	11:104172691-104172692	chr17:43910261-43910263	chr17:43910262-43910263	0.5
C57B6J	11:104172691-104172692	chr17:43910261-43910263	chr17_ctg5_hap1:957246-957247	0.5
C57B6J	11:104237980-104237981	chr17:43978305-43978307	chr17:43978305-43978306	0.5
C57B6J	11:104237980-104237981	chr17:43978305-43978307	chr17_ctg5_hap1:889280-889281	0.5
C57B6J	11:104237985-104237986	chr17:43978305-43978307	chr17:43978306-43978307	0.5
C57B6J	11:104237985-104237986	chr17:43978305-43978307	chr17_ctg5_hap1:889279-889280	0.5
C57B6J	11:104319596-104319597	chr17:44089562-44089564	chr17:44089562-44089563	0.5
C57B6J	11:104319596-104319597	chr17:44089562-44089564	chr17_ctg5_hap1:778430-778431	0.5
C57B6J	11:104319598-104319599	chr17:44089562-44089564	chr17:44089563-44089564	0.5
C57B6J	11:104319598-104319599	chr17:44089562-44089564	chr17_ctg5_hap1:778429-778430	0.5
C57B6J	1:112576270-112576272	chr2:126512185-126512187	chr2:126512185-126512187	2.0
C57B6J	1:117319010-117319012	chr2:126512185-126512187	chr2:126512185-126512187	2.0
C57B6J	9:123823531-123823532	chr3:46001226-46001228	chr3:46001226-46001227	1.0
C57B6J	9:123823533-123823534	chr3:46001226-46001228	chr3:46001227-46001228	1.0
C57B6J	9:123965789-123965791	chr3:46247095-46247097	chr3:46247095-46247097	2.0
C57B6J	9:123979763-123979765	chr3:46247095-46247097	chr3:46247095-46247097	2.0
C57B6J	9:111064644-111064646	chr3:46436955-46436957	chr3:46436955-46436957	2.0
C57B6J	9:124141956-124141958	chr3:46436955-46436957	chr3:46436955-46436957	2.0
C57B6J	11:104011183-104011184	chr17:43735477-43735479	chr17:43735477-43735478	0.5
C57B6J	11:104011183-104011184	chr17:43735477-43735479	chr17_ctg5_hap1:1131840-1131841	0.5
C57B6J	11:104011185-104011186	chr17:43735477-43735479	chr17:43735478-43735479	0.5
C57B6J	11:104011185-104011186	chr17:43735477-43735479	chr17_ctg5_hap1:1131839-1131840	0.5
C57B6J	2:66351971-66351972	chr2:166930980-166930982	chr2:166930980-166930981	1.0
C57B6J	2:66351973-66351974	chr2:166930980-166930982	chr2:166930981-166930982	1.0
C57B6J	9:123966045-123966047	chr3:46247455-46247457	chr3:46247455-46247457	2.0
C57B6J	9:123980021-123980023	chr3:46247455-46247457	chr3:46247455-46247457	2.0
C57B6J	9:111064023-111064024	chr3:46437399-46437401	chr3:46437399-46437400	2.0
C57B6J	9:124143380-124143381	chr3:46437399-46437401	chr3:46437399-46437400	2.0
C57B6J	12:77953462-77953464	chr14:66718840-66718842	chr14:66718840-66718842	2.0
C57B6J	12:77954472-77954474	chr14:66718840-66718842	chr14:66718840-66718842	2.0
C57B6J	8:93725953-93725954	chr16:56138608-56138610	chr16:56138608-56138609	1.0
C57B6J	8:93725955-93725956	chr16:56138608-56138610	chr16:56138609-56138610	1.0
C57B6J	11:104006608-104006609	chr17:43731718-43731720	chr17:43731718-43731719	0.5
C57B6J	11:104006608-104006609	chr17:43731718-43731720	chr17_ctg5_hap1:1135597-1135598	0.5
C57B6J	11:104006611-104006612	chr17:43731718-43731720	chr17:43731719-43731720	0.5
C57B6J	11:104006611-104006612	chr17:43731718-43731720	chr17_ctg5_hap1:1135596-1135597	0.5
C57B6J	11:104129858-104129859	chr17:43858481-43858483	chr17:43858481-43858482	0.5
C57B6J	11:104129858-104129859	chr17:43858481-43858483	chr17_ctg5_hap1:1009049-1009050	0.5
C57B6J	11:104129862-104129863	chr17:43858481-43858483	chr17:43858482-43858483	0.5
C57B6J	11:104129862-104129863	chr17:43858481-43858483	chr17_ctg5_hap1:1009048-1009049	0.5
C57B6J	11:104219511-104219512	chr17:43960019-43960021	chr17:43960019-43960020	0.5
C57B6J	11:104219511-104219512	chr17:43960019-43960021	chr17_ctg5_hap1:907584-907585	0.5
C57B6J	11:104219517-104219518	chr17:43960019-43960021	chr17:43960020-43960021	0.5
C57B6J	11:104219517-104219518	chr17:43960019-43960021	chr17_ctg5_hap1:907583-907584	0.5
C57B6J	1:124318674-124318675	chr2:115647255-115647257	chr2:115647255-115647256	1.0
C57B6J	1:124318670-124318671	chr2:115647255-115647257	chr2:115647256-115647257	1.0
C57B6J	9:123828123-123828124	chr3:46007701-46007703	chr3:46007701-46007702	1.0
C57B6J	9:123828129-123828130	chr3:46007701-46007703	chr3:46007702-46007703	1.0
C57B6J	9:123966518-123966520	chr3:46247583-46247585	chr3:46247583-46247585	2.0
C57B6J	9:123980496-123980498	chr3:46247583-46247585	chr3:46247583-46247585	2.0
C57B6J	8:93726364-93726365	chr16:56139045-56139047	chr16:56139045-56139046	1.0
C57B6J	8:93726367-93726368	chr16:56139045-56139047	chr16:56139046-56139047	1.0
C57B6J	11:104048348-104048349	chr17:43774958-43774960	chr17:43774958-43774959	0.5
C57B6J	11:104048348-104048349	chr17:43774958-43774960	chr17_ctg5_hap1:1092354-1092355	0.5
C57B6J	11:104048351-104048352	chr17:43774958-43774960	chr17:43774959-43774960	0.5
C57B6J	11:104048351-104048352	chr17:43774958-43774960	chr17_ctg5_hap1:1092353-1092354	0.5
C57B6J	11:104051286-104051287	chr17:43778405-43778407	chr17:43778405-43778406	0.5
C57B6J	11:104051286-104051287	chr17:43778405-43778407	chr17_ctg5_hap1:1088929-1088930	0.5
C57B6J	11:104051298-104051299	chr17:43778405-43778407	chr17:43778406-43778407	0.5
C57B6J	11:104051298-104051299	chr17:43778405-43778407	chr17_ctg5_hap1:1088928-1088929	0.5
C57B6J	9:123632942-123632944	chr3:45841937-45841939	chr3:45841937-45841939	2.0
C57B6J	9:123682189-123682191	chr3:45841937-45841939	chr3:45841937-45841939	2.0
C57B6J	1:22558838-22558840	chr3:46138106-46138108	chr3:46138106-46138108	2.0
C57B6J	9:123933308-123933310	chr3:46138106-46138108	chr3:46138106-46138108	2.0
C57B6J	9:123967104-123967106	chr3:46248223-46248225	chr3:46248223-46248225	4.0
C57B6J	9:123981082-123981084	chr3:46248223-46248225	chr3:46248223-46248225	4.0
C57B6J	X:170008775-170008777	chr3:46248223-46248225	chr3:46248223-46248225	4.0
C57B6J	Y:90783691-90783693	chr3:46248223-46248225	chr3:46248223-46248225	4.0
C57B6J	13:79593806-79593807	chr5:91803049-91803051	chr5:91803049-91803050	1.0
C57B6J	13:79593787-79593788	chr5:91803049-91803051	chr5:91803050-91803051	1.0
C57B6J	11:40467726-40467727	chr5:163125304-163125306	chr5:163125304-163125305	1.0
C57B6J	11:40467703-40467704	chr5:163125304-163125306	chr5:163125305-163125306	1.0
C57B6J	11:103982720-103982722	chr17:43713924-43713926	chr17:43713924-43713926	2.0
C57B6J	11:103982720-103982722	chr17:43713924-43713926	chr17_ctg5_hap1:1153355-1153357	2.0
C57B6J	11:103983885-103983887	chr17:43713924-43713926	chr17:43713924-43713926	2.0
C57B6J	11:103983885-103983887	chr17:43713924-43713926	chr17_ctg5_hap1:1153355-1153357	2.0
C57B6J	2:87123683-87123685	chr17:43713924-43713926	chr17:43713924-43713926	2.0
C57B6J	2:87123683-87123685	chr17:43713924-43713926	chr17_ctg5_hap1:1153355-1153357	2.0
C57B6J	2:125729355-125729357	chr17:43713924-43713926	chr17:43713924-43713926	2.0
C57B6J	2:125729355-125729357	chr17:43713924-43713926	chr17_ctg5_hap1:1153355-1153357	2.0
C57B6J	11:104109466-104109467	chr17:43839252-43839254	chr17:43839252-43839253	0.5
C57B6J	11:104109466-104109467	chr17:43839252-43839254	chr17_ctg5_hap1:1028323-1028324	0.5
C57B6J	11:104109468-104109469	chr17:43839252-43839254	chr17:43839253-43839254	0.5
C57B6J	11:104109468-104109469	chr17:43839252-43839254	chr17_ctg5_hap1:1028322-1028323	0.5
C57B6J	11:104159774-104159775	chr17:43894509-43894511	chr17:43894509-43894510	0.5
C57B6J	11:104159774-104159775	chr17:43894509-43894511	chr17_ctg5_hap1:973031-973032	0.5
C57B6J	11:104159776-104159777	chr17:43894509-43894511	chr17:43894510-43894511	0.5
C57B6J	11:104159776-104159777	chr17:43894509-43894511	chr17_ctg5_hap1:973030-973031	0.5
C57B6J	11:104171055-104171056	chr17:43908825-43908827	chr17:43908825-43908826	0.5
C57B6J	11:104171055-104171056	chr17:43908825-43908827	chr17_ctg5_hap1:958695-958696	0.5
C57B6J	11:104171060-104171061	chr17:43908825-43908827	chr17:43908826-43908827	0.5
C57B6J	11:104171060-104171061	chr17:43908825-43908827	chr17_ctg5_hap1:958694-958695	0.5
C57B6J	11:107035506-107035507	chr17:44352130-44352132	chr17:44352130-44352131	0.2
C57B6J	11:107035506-107035507	chr17:44352130-44352132	chr17:65978694-65978695	0.2
C57B6J	11:107035506-107035507	chr17:44352130-44352132	chr17_ctg5_hap1:513838-513839	0.2
C57B6J	11:107035506-107035507	chr17:44352130-44352132	chr17_ctg5_hap1:1219136-1219137	0.2
C57B6J	11:107035506-107035507	chr17:44352130-44352132	chr17_ctg5_hap1:1255247-1255248	0.2
C57B6J	11:107035513-107035514	chr17:44352130-44352132	chr17:44352131-44352132	0.2
C57B6J	11:107035513-107035514	chr17:44352130-44352132	chr17:65978693-65978694	0.2
C57B6J	11:107035513-107035514	chr17:44352130-44352132	chr17_ctg5_hap1:513837-513838	0.2
C57B6J	11:107035513-107035514	chr17:44352130-44352132	chr17_ctg5_hap1:1219137-1219138	0.2
C57B6J	11:107035513-107035514	chr17:44352130-44352132	chr17_ctg5_hap1:1255246-1255247	0.2
C57B6J	17:89628439-89628440	chr2:49810570-49810572	chr2:49810570-49810571	1.0
C57B6J	17:89628447-89628448	chr2:49810570-49810572	chr2:49810571-49810572	1.0
C57B6J	9:123953678-123953679	chr3:46177161-46177163	chr3:46177161-46177162	1.0
C57B6J	9:123953682-123953683	chr3:46177161-46177163	chr3:46177162-46177163	1.0
C57B6J	18:53882424-53882425	chr5:122863960-122863962	chr5:122863960-122863961	1.0
C57B6J	18:53882428-53882429	chr5:122863960-122863962	chr5:122863961-122863962	1.0
C57B6J	11:11701514-11701515	chr7:50360662-50360664	chr7:50360662-50360663	1.0
C57B6J	11:11701521-11701522	chr7:50360662-50360664	chr7:50360663-50360664	1.0
C57B6J	3:89305663-89305664	chr1:155065626-155065628	chr1:155065626-155065627	1.0
C57B6J	3:89305661-89305662	chr1:155065626-155065628	chr1:155065627-155065628	1.0
C57B6J	18:36763993-36763995	chr17:43664334-43664336	chr5:140050836-140050838	0.3333333333333333
C57B6J	18:36763993-36763995	chr17:43664334-43664336	chr17:43664334-43664336	0.3333333333333333
C57B6J	18:36763993-36763995	chr17:43664334-43664336	chr17:44336872-44336874	0.3333333333333333
C57B6J	18:36763993-36763995	chr17:43664334-43664336	chr17_ctg5_hap1:529067-529069	0.3333333333333333
C57B6J	18:36763993-36763995	chr17:43664334-43664336	chr17_ctg5_hap1:1203861-1203863	0.3333333333333333
C57B6J	18:36763993-36763995	chr17:43664334-43664336	chr17_ctg5_hap1:1423412-1423414	0.3333333333333333
C57B6J	5:13880320-13880322	chr17:43664334-43664336	chr5:140050836-140050838	0.3333333333333333
C57B6J	5:13880320-13880322	chr17:43664334-43664336	chr17:43664334-43664336	0.3333333333333333
C57B6J	5:13880320-13880322	chr17:43664334-43664336	chr17:44336872-44336874	0.3333333333333333
C57B6J	5:13880320-13880322	chr17:43664334-43664336	chr17_ctg5_hap1:529067-529069	0.3333333333333333
C57B6J	5:13880320-13880322	chr17:43664334-43664336	chr17_ctg5_hap1:1203861-1203863	0.3333333333333333
C57B6J	5:13880320-13880322	chr17:43664334-43664336	chr17_ctg5_hap1:1423412-1423414	0.3333333333333333
C57B6J	11:103984257-103984259	chr17:43714672-43714674	chr17:43714672-43714674	1.5
C57B6J	11:103984257-103984259	chr17:43714672-43714674	chr17_ctg5_hap1:1152606-1152608	1.5
C57B6J	2:87123310-87123312	chr17:43714672-43714674	chr17:43714672-43714674	1.5
C57B6J	2:87123310-87123312	chr17:43714672-43714674	chr17_ctg5_hap1:1152606-1152608	1.5
C57B6J	2:125728873-125728875	chr17:43714672-43714674	chr17:43714672-43714674	1.5
C57B6J	2:125728873-125728875	chr17:43714672-43714674	chr17_ctg5_hap1:1152606-1152608	1.5
C57B6J	11:104442146-104442148	chr17:44271151-44271153	chr17:44271151-44271153	0.6666666666666666
C57B6J	11:104442146-104442148	chr17:44271151-44271153	chr17_ctg5_hap1:595171-595173	0.6666666666666666
C57B6J	11:104442146-104442148	chr17:44271151-44271153	chr17_ctg5_hap1:1323755-1323757	0.6666666666666666
C57B6J	11:104442661-104442663	chr17:44271151-44271153	chr17:44271151-44271153	0.6666666666666666
C57B6J	11:104442661-104442663	chr17:44271151-44271153	chr17_ctg5_hap1:595171-595173	0.6666666666666666
C57B6J	11:104442661-104442663	chr17:44271151-44271153	chr17_ctg5_hap1:1323755-1323757	0.6666666666666666
C57B6J	11:113727082-113727083	chr3:46138841-46138843	chr3:46138841-46138842	0.25
C57B6J	11:113727082-113727083	chr3:46138841-46138843	chr14:35406865-35406866	0.25
C57B6J	11:113727082-113727083	chr3:46138841-46138843	chr14:104384019-104384020	0.25
C57B6J	11:113727082-113727083	chr3:46138841-46138843	chr17:71280004-71280005	0.25
C57B6J	11:113727084-113727085	chr3:46138841-46138843	chr3:46138842-46138843	0.25
C57B6J	11:113727084-113727085	chr3:46138841-46138843	chr14:35406866-35406867	0.25
C57B6J	11:113727084-113727085	chr3:46138841-46138843	chr14:104384020-104384021	0.25
C57B6J	11:113727084-113727085	chr3:46138841-46138843	chr17:71280005-71280006	0.25
C57B6J	11:103984411-103984413	chr17:43714849-43714851	chr17:43714849-43714851	1.0
C57B6J	11:103984411-103984413	chr17:43714849-43714851	chr17_ctg5_hap1:1152429-1152431	1.0
C57B6J	2:125728716-125728718	chr17:43714849-43714851	chr17:43714849-43714851	1.0
C57B6J	2:125728716-125728718	chr17:43714849-43714851	chr17_ctg5_hap1:1152429-1152431	1.0
C57B6J	11:104270951-104270952	chr17:44018398-44018400	chr17:44018398-44018399	0.5
C57B6J	11:104270951-104270952	chr17:44018398-44018400	chr17_ctg5_hap1:849282-849283	0.5
C57B6J	11:104270953-104270954	chr17:44018398-44018400	chr17:44018399-44018400	0.5
C57B6J	11:104270953-104270954	chr17:44018398-44018400	chr17_ctg5_hap1:849281-849282	0.5
C57B6J	18:78616645-78616646	chr18:42763392-42763394	chr18:42763392-42763393	1.0
C57B6J	18:78616643-78616644	chr18:42763392-42763394	chr18:42763393-42763394	1.0
C57B6J	16:55832846-55832848	chr3:101552552-101552554	chr3:101552552-101552554	2.0
C57B6J	X:40782182-40782184	chr3:101552552-101552554	chr3:101552552-101552554	2.0
C57B6J	2:26846234-26846235	chr9:136133147-136133149	chr9:136133147-136133148	1.0
C57B6J	2:26846236-26846237	chr9:136133147-136133149	chr9:136133148-136133149	1.0
C57B6J	18:13635362-13635364	chr11:114707179-114707181	chr11:114707179-114707181	2.0
C57B6J	9:48193892-48193894	chr11:114707179-114707181	chr11:114707179-114707181	2.0
C57B6J	11:103984593-103984594	chr17:43715017-43715019	chr17:43715018-43715019	1.5
C57B6J	11:103984593-103984594	chr17:43715017-43715019	chr17_ctg5_hap1:1152261-1152262	1.5
C57B6J	2:87123003-87123004	chr17:43715017-43715019	chr17:43715018-43715019	1.5
C57B6J	2:87123003-87123004	chr17:43715017-43715019	chr17_ctg5_hap1:1152261-1152262	1.5
C57B6J	2:125728610-125728611	chr17:43715017-43715019	chr17:43715018-43715019	1.5
C57B6J	2:125728610-125728611	chr17:43715017-43715019	chr17_ctg5_hap1:1152261-1152262	1.5
C57B6J	11:104114401-104114402	chr17:43844976-43844978	chr17:43844976-43844977	0.5
C57B6J	11:104114401-104114402	chr17:43844976-43844978	chr17_ctg5_hap1:1022591-1022592	0.5
C57B6J	11:104114414-104114415	chr17:43844976-43844978	chr17:43844977-43844978	0.5
C57B6J	11:104114414-104114415	chr17:43844976-43844978	chr17_ctg5_hap1:1022590-1022591	0.5
C57B6J	11:104190655-104190656	chr17:43926991-43926993	chr17:43926991-43926992	0.5
C57B6J	11:104190655-104190656	chr17:43926991-43926993	chr17_ctg5_hap1:940551-940552	0.5
C57B6J	11:104190657-104190658	chr17:43926991-43926993	chr17:43926992-43926993	0.5
C57B6J	11:104190657-104190658	chr17:43926991-43926993	chr17_ctg5_hap1:940550-940551	0.5
C57B6J	11:114199831-114199832	chr17:71768273-71768275	chr17:71768273-71768274	1.0
C57B6J	11:114199856-114199857	chr17:71768273-71768275	chr17:71768274-71768275	1.0
C57B6J	3:8674120-8674122	chr19:10596987-10596989	chr4:71707919-71707921	1.0
C57B6J	3:8674120-8674122	chr19:10596987-10596989	chr19:10596987-10596989	1.0
C57B6J	9:21230323-21230325	chr19:10596987-10596989	chr4:71707919-71707921	1.0
C57B6J	9:21230323-21230325	chr19:10596987-10596989	chr19:10596987-10596989	1.0
C57B6J	1:41188220-41188221	chr2:103816492-103816494	chr2:103816492-103816493	1.0
C57B6J	1:41188222-41188223	chr2:103816492-103816494	chr2:103816493-103816494	1.0
C57B6J	2:148645565-148645566	chr20:23310434-23310436	chr20:23310434-23310435	1.0
C57B6J	2:148645584-148645585	chr20:23310434-23310436	chr20:23310435-23310436	1.0
C57B6J	10:67267375-67267377	chr3:46065762-46065764	chr1:111390589-111390591	0.42857142857142855
C57B6J	10:67267375-67267377	chr3:46065762-46065764	chr2:233208717-233208719	0.42857142857142855
C57B6J	10:67267375-67267377	chr3:46065762-46065764	chr3:46065762-46065764	0.42857142857142855
C57B6J	10:67267375-67267377	chr3:46065762-46065764	chr8:108996293-108996295	0.42857142857142855
C57B6J	10:67267375-67267377	chr3:46065762-46065764	chr10:5818923-5818925	0.42857142857142855
C57B6J	10:67267375-67267377	chr3:46065762-46065764	chr10:64914078-64914080	0.42857142857142855
C57B6J	10:67267375-67267377	chr3:46065762-46065764	chr18:33422678-33422680	0.42857142857142855
C57B6J	14:52861684-52861686	chr3:46065762-46065764	chr1:111390589-111390591	0.42857142857142855
C57B6J	14:52861684-52861686	chr3:46065762-46065764	chr2:233208717-233208719	0.42857142857142855
C57B6J	14:52861684-52861686	chr3:46065762-46065764	chr3:46065762-46065764	0.42857142857142855
C57B6J	14:52861684-52861686	chr3:46065762-46065764	chr8:108996293-108996295	0.42857142857142855
C57B6J	14:52861684-52861686	chr3:46065762-46065764	chr10:5818923-5818925	0.42857142857142855
C57B6J	14:52861684-52861686	chr3:46065762-46065764	chr10:64914078-64914080	0.42857142857142855
C57B6J	14:52861684-52861686	chr3:46065762-46065764	chr18:33422678-33422680	0.42857142857142855
C57B6J	14:53172644-53172646	chr3:46065762-46065764	chr1:111390589-111390591	0.42857142857142855
C57B6J	14:53172644-53172646	chr3:46065762-46065764	chr2:233208717-233208719	0.42857142857142855
C57B6J	14:53172644-53172646	chr3:46065762-46065764	chr3:46065762-46065764	0.42857142857142855
C57B6J	14:53172644-53172646	chr3:46065762-46065764	chr8:108996293-108996295	0.42857142857142855
C57B6J	14:53172644-53172646	chr3:46065762-46065764	chr10:5818923-5818925	0.42857142857142855
C57B6J	14:53172644-53172646	chr3:46065762-46065764	chr10:64914078-64914080	0.42857142857142855
