chr	start	end	hg19_loc	species	liftOver_input
chr11	86165962	86165964	chr11:88590108-88590110	gorGor3	chr11:86165962-86165964
chrX	125158567	125158569	chr11:88590108-88590110	gorGor3	chrX:125158567-125158569
chr12	112442380	112442382	chr12:113382976-113382978	gorGor3	chr12:112442380-112442382
chr12	112549657	112549659	chr12:113382976-113382978	gorGor3	chr12:112549657-112549659
chr13	3534324	3534326	chr13:22419413-22419415	gorGor3	chr13:3534324-3534326
chr13	3534637	3534639	chr13:22419413-22419415	gorGor3	chr13:3534637-3534639
chr5	38430239	38430241	chr17:43715426-43715428	gorGor3	chr5:38430239-38430241
chr5	38431004	38431006	chr17:43715426-43715428	gorGor3	chr5:38431004-38431006
chr5	38313913	38313915	chr17:43825575-43825577	gorGor3	chr5:38313913-38313915
chr5	38318152	38318154	chr17:43825575-43825577	gorGor3	chr5:38318152-38318154
chr5	38097718	38097720	chr17:44012462-44012464	gorGor3	chr5:38097718-38097720
chr5	38125944	38125946	chr17:44012462-44012464	gorGor3	chr5:38125944-38125946
chr5	38096036	38096038	chr17:44014136-44014138	gorGor3	chr5:38096036-38096038
chr5	38124262	38124264	chr17:44014136-44014138	gorGor3	chr5:38124262-38124264
chr5	38040096	38040098	chr17:44093495-44093497	gorGor3	chr5:38040096-38040098
chr6	85087944	85087946	chr17:44093495-44093497	gorGor3	chr6:85087944-85087946
chr6	85096241	85096243	chr17:44093495-44093497	gorGor3	chr6:85096241-85096243
chr5	38040009	38040011	chr17:44095334-44095336	gorGor3	chr5:38040009-38040011
chr6	85088029	85088031	chr17:44095334-44095336	gorGor3	chr6:85088029-85088031
chr6	85096325	85096327	chr17:44095334-44095336	gorGor3	chr6:85096325-85096327
chr5	37049811	37049813	chr17:44165595-44165597	gorGor3	chr5:37049811-37049813
chr5	37966665	37966667	chr17:44165595-44165597	gorGor3	chr5:37966665-37966667
chr5	37043863	37043865	chr17:44170017-44170019	gorGor3	chr5:37043863-37043865
chr5	37962199	37962201	chr17:44170017-44170019	gorGor3	chr5:37962199-37962201
chr5	37041221	37041223	chr17:44172697-44172699	gorGor3	chr5:37041221-37041223
chr5	37959521	37959523	chr17:44172697-44172699	gorGor3	chr5:37959521-37959523
chr5	37037682	37037684	chr17:44176214-44176216	gorGor3	chr5:37037682-37037684
chr5	37955986	37955988	chr17:44176214-44176216	gorGor3	chr5:37955986-37955988
chr5	37035987	37035989	chr17:44179968-44179970	gorGor3	chr5:37035987-37035989
chr5	37950342	37950344	chr17:44179968-44179970	gorGor3	chr5:37950342-37950344
chr3	59146407	59146409	chr17:44181932-44181934	gorGor3	chr3:59146407-59146409
chr5	37034002	37034004	chr17:44181932-44181934	gorGor3	chr5:37034002-37034004
chr5	37934849	37934850	chr17:44195423-44195425	gorGor3	chr5:37934849-37934850
chr5	37934847	37934848	chr17:44195423-44195425	gorGor3	chr5:37934847-37934848
chr5	37908022	37908024	chr17:44220941-44220943	gorGor3	chr5:37908022-37908024
chr5	37908330	37908332	chr17:44220941-44220943	gorGor3	chr5:37908330-37908332
chr5	37885462	37885464	chr17:44240985-44240987	gorGor3	chr5:37885462-37885464
chr5	37886104	37886106	chr17:44240985-44240987	gorGor3	chr5:37886104-37886106
chr5	37031338	37031340	chr17:44281721-44281723	gorGor3	chr5:37031338-37031340
chr5	37845059	37845061	chr17:44281721-44281723	gorGor3	chr5:37845059-37845061
chr5	15538394	15538396	chr17:44334051-44334053	gorGor3	chr5:15538394-15538396
chr5	37792964	37792966	chr17:44334051-44334053	gorGor3	chr5:37792964-37792966
chr19	30034143	30034145	chr17:44345652-44345654	gorGor3	chr19:30034143-30034145
chr5	37780381	37780383	chr17:44345652-44345654	gorGor3	chr5:37780381-37780383
chr5	15563334	15563336	chr17:44350918-44350920	gorGor3	chr5:15563334-15563336
chr5	37775125	37775127	chr17:44350918-44350920	gorGor3	chr5:37775125-37775127
chr5	15564962	15564964	chr17:44352871-44352873	gorGor3	chr5:15564962-15564964
chr5	37773180	37773182	chr17:44352871-44352873	gorGor3	chr5:37773180-37773182
chr18	32464459	32464461	chr18:32791977-32791979	gorGor3	chr18:32464459-32464461
chr18	32474355	32474357	chr18:32791977-32791979	gorGor3	chr18:32474355-32474357
chr11	110747912	110747914	chr3:46090476-46090478	gorGor3	chr11:110747912-110747914
chr3	47278707	47278709	chr3:46090476-46090478	gorGor3	chr3:47278707-47278709
chr3	100737948	100737950	chr3:101434447-101434449	gorGor3	chr3:100737948-100737950
chr3	100742148	100742150	chr3:101434447-101434449	gorGor3	chr3:100742148-100742150
chr6	87801873	87801875	chr7:10139854-10139856	gorGor3	chr6:87801873-87801875
chr7	10169481	10169483	chr7:10139854-10139856	gorGor3	chr7:10169481-10169483
chr9	116816914	116816916	chr9:136184781-136184783	gorGor3	chr9:116816914-116816916
chr9	116843154	116843156	chr9:136184781-136184783	gorGor3	chr9:116843154-116843156
chr9	116930757	116930759	chr9:136184781-136184783	gorGor3	chr9:116930757-116930759
chr9	119182872	119182874	chr9:136184781-136184783	gorGor3	chr9:119182872-119182874
chr9	119207250	119207252	chr9:136184781-136184783	gorGor3	chr9:119207250-119207252
JH725538	3908914	3908915	chr11:120754722-120754724	jacJac1	JH725538:3908914-3908915
JH725538	3908912	3908913	chr11:120754722-120754724	jacJac1	JH725538:3908912-3908913
JH725452	4619067	4619068	chr17:44115729-44115731	jacJac1	JH725452:4619067-4619068
JH725452	4619065	4619066	chr17:44115729-44115731	jacJac1	JH725452:4619065-4619066
JH725452	6160520	6160522	chr17:44352871-44352873	jacJac1	JH725452:6160520-6160522
JH725485	1518385	1518387	chr17:44352871-44352873	jacJac1	JH725485:1518385-1518387
JH725484	16764881	16764883	chr3:45837885-45837887	jacJac1	JH725484:16764881-16764883
JH725484	16825063	16825065	chr3:45837885-45837887	jacJac1	JH725484:16825063-16825065
JH725438	6971787	6971788	chr3:46065962-46065964	jacJac1	JH725438:6971787-6971788
JH725438	75355875	75355876	chr3:46065962-46065964	jacJac1	JH725438:75355875-75355876
JH725460	6603632	6603633	chr3:46065962-46065964	jacJac1	JH725460:6603632-6603633
JH725484	1779561	1779563	chr3:46450296-46450298	jacJac1	JH725484:1779561-1779563
JH725484	17342072	17342074	chr3:46450296-46450298	jacJac1	JH725484:17342072-17342074
scaffold_16	11288679	11288681	chr1:188501475-188501477	loxAfr3	scaffold_16:11288679-11288681
scaffold_31	2713136	2713138	chr1:188501475-188501477	loxAfr3	scaffold_31:2713136-2713138
scaffold_58	8772363	8772364	chr11:120754722-120754724	loxAfr3	scaffold_58:8772363-8772364
scaffold_58	8772365	8772366	chr11:120754722-120754724	loxAfr3	scaffold_58:8772365-8772366
scaffold_11	4031203	4031205	chr13:33703665-33703667	loxAfr3	scaffold_11:4031203-4031205
scaffold_22	34469551	34469553	chr13:33703665-33703667	loxAfr3	scaffold_22:34469551-34469553
scaffold_31	27190589	27190590	chr17:43854339-43854341	loxAfr3	scaffold_31:27190589-27190590
scaffold_31	27190591	27190592	chr17:43854339-43854341	loxAfr3	scaffold_31:27190591-27190592
scaffold_31	27242215	27242217	chr17:43904527-43904529	loxAfr3	scaffold_31:27242215-27242217
scaffold_32	213300	213302	chr17:43904527-43904529	loxAfr3	scaffold_32:213300-213302
scaffold_31	27268971	27268973	chr17:43923702-43923704	loxAfr3	scaffold_31:27268971-27268973
scaffold_132	568422	568424	chr17:43923702-43923704	loxAfr3	scaffold_132:568422-568424
scaffold_3	17047983	17047985	chr17:44111612-44111614	loxAfr3	scaffold_3:17047983-17047985
scaffold_31	27443392	27443394	chr17:44111612-44111614	loxAfr3	scaffold_31:27443392-27443394
scaffold_31	27601063	27601064	chr17:44275618-44275620	loxAfr3	scaffold_31:27601063-27601064
scaffold_31	27601067	27601068	chr17:44275618-44275620	loxAfr3	scaffold_31:27601067-27601068
scaffold_4	37704198	37704200	chr18:59814176-59814178	loxAfr3	scaffold_4:37704198-37704200
scaffold_4	37798536	37798537	chr18:59814176-59814178	loxAfr3	scaffold_4:37798536-37798537
scaffold_6	91464579	91464581	chr3:46065962-46065964	loxAfr3	scaffold_6:91464579-91464581
scaffold_10	44777710	44777712	chr3:46065962-46065964	loxAfr3	scaffold_10:44777710-44777712
scaffold_12	21090889	21090891	chr3:46450296-46450298	loxAfr3	scaffold_12:21090889-21090891
scaffold_12	21112795	21112797	chr3:46450296-46450298	loxAfr3	scaffold_12:21112795-21112797
scaffold_12	15725887	15725889	chr3:51936948-51936950	loxAfr3	scaffold_12:15725887-15725889
scaffold_12	15767220	15767222	chr3:51936948-51936950	loxAfr3	scaffold_12:15767220-15767222
scaffold_12	15828589	15828591	chr3:51936948-51936950	loxAfr3	scaffold_12:15828589-15828591
scaffold_44	14008303	14008305	chr3:101373304-101373306	loxAfr3	scaffold_44:14008303-14008305
scaffold_66	3875496	3875498	chr3:101373304-101373306	loxAfr3	scaffold_66:3875496-3875498
scaffold_8	7701974	7701976	chr8:63352004-63352006	loxAfr3	scaffold_8:7701974-7701976
scaffold_8	8162527	8162529	chr8:63352004-63352006	loxAfr3	scaffold_8:8162527-8162529
chr5	6939825	6939826	chr11:97791458-97791460	micOch1	chr5:6939825-6939826
chr5	6939823	6939824	chr11:97791458-97791460	micOch1	chr5:6939823-6939824
chr5	36468197	36468198	chr11:120754722-120754724	micOch1	chr5:36468197-36468198
chr5	36468195	36468196	chr11:120754722-120754724	micOch1	chr5:36468195-36468196
chr8	31741690	31741692	chr14:28734654-28734656	micOch1	chr8:31741690-31741692
chrLG4	45321681	45321683	chr14:28734654-28734656	micOch1	chrLG4:45321681-45321683
chrUn_JH996478	589123	589124	chr17:43760684-43760686	micOch1	chrUn_JH996478:589123-589124
chrUn_JH996478	589125	589126	chr17:43760684-43760686	micOch1	chrUn_JH996478:589125-589126
chrX	14645561	14645563	chr17:44026477-44026479	micOch1	chrX:14645561-14645563
chrUn_JH996478	850226	850228	chr17:44026477-44026479	micOch1	chrUn_JH996478:850226-850228
chrUn_AHZW01186361	18	20	chr17:44044219-44044221	micOch1	chrUn_AHZW01186361:18-20
chrUn_JH996478	856486	856488	chr17:44044219-44044221	micOch1	chrUn_JH996478:856486-856488
chr5	95829659	95829661	chr3:45837885-45837887	micOch1	chr5:95829659-95829661
chr5	95874911	95874913	chr3:45837885-45837887	micOch1	chr5:95874911-95874913
chr1	97131617	97131618	chr11:120754722-120754724	oryCun2	chr1:97131617-97131618
chr1	97131619	97131620	chr11:120754722-120754724	oryCun2	chr1:97131619-97131620
chr19	46181591	46181592	chr17:43854339-43854341	oryCun2	chr19:46181591-46181592
chr19	46181593	46181594	chr17:43854339-43854341	oryCun2	chr19:46181593-46181594
chr19	46327571	46327572	chr17:44065900-44065902	oryCun2	chr19:46327571-46327572
chr19	46327573	46327574	chr17:44065900-44065902	oryCun2	chr19:46327573-46327574
chr19	46345992	46345994	chr17:44101562-44101564	oryCun2	chr19:46345992-46345994
chr8	57360203	57360205	chr17:44101562-44101564	oryCun2	chr8:57360203-57360205
chrX	66075010	66075012	chr17:44101562-44101564	oryCun2	chrX:66075010-66075012
chr2	148590532	148590533	chr2:37889699-37889701	oryCun2	chr2:148590532-148590533
chr2	148590530	148590531	chr2:37889699-37889701	oryCun2	chr2:148590530-148590531
chr13	68375782	68375784	chr21:34622535-34622537	oryCun2	chr13:68375782-68375784
chrUn0031	31619	31621	chr21:34622535-34622537	oryCun2	chrUn0031:31619-31621
chr9	13227149	13227151	chr3:45837885-45837887	oryCun2	chr9:13227149-13227151
chr9	13269936	13269938	chr3:45837885-45837887	oryCun2	chr9:13269936-13269938
chr13	51276501	51276503	chr3:46065962-46065964	oryCun2	chr13:51276501-51276503
chr18	23063927	23063929	chr3:46065962-46065964	oryCun2	chr18:23063927-23063929
chrUn0011	3489413	3489415	chr8:8730487-8730489	oryCun2	chrUn0011:3489413-3489415
chrUn0132	170555	170557	chr8:8730487-8730489	oryCun2	chrUn0132:170555-170557
chrUn0276	1689	1691	chr8:8730487-8730489	oryCun2	chrUn0276:1689-1691
chrUn0466	19144	19146	chr8:8730487-8730489	oryCun2	chrUn0466:19144-19146
chr15	31028983	31028984	chr11:120754722-120754724	oviAri3	chr15:31028983-31028984
chr15	31028985	31028986	chr11:120754722-120754724	oviAri3	chr15:31028985-31028986
chr11	45129870	45129872	chr17:43773783-43773785	oviAri3	chr11:45129870-45129872
chr11	45142194	45142196	chr17:43773783-43773785	oviAri3	chr11:45142194-45142196
chrX	60181631	60181633	chr17:43823879-43823881	oviAri3	chrX:60181631-60181633
chr11	45177640	45177642	chr17:43823879-43823881	oviAri3	chr11:45177640-45177642
chr11	45216762	45216763	chr17:43854339-43854341	oviAri3	chr11:45216762-45216763
chr11	45216764	45216765	chr17:43854339-43854341	oviAri3	chr11:45216764-45216765
chr11	45275626	45275627	chr17:43913314-43913316	oviAri3	chr11:45275626-45275627
chr11	45275628	45275629	chr17:43913314-43913316	oviAri3	chr11:45275628-45275629
chr11	45342816	45342817	chr17:43997371-43997373	oviAri3	chr11:45342816-45342817
chr11	45342818	45342819	chr17:43997371-43997373	oviAri3	chr11:45342818-45342819
chr11	45425155	45425156	chr17:44088936-44088938	oviAri3	chr11:45425155-45425156
chr11	45425158	45425159	chr17:44088936-44088938	oviAri3	chr11:45425158-45425159
chr15	19782509	19782511	chr3:46065962-46065964	oviAri3	chr15:19782509-19782511
chr25	19169970	19169972	chr3:46065962-46065964	oviAri3	chr25:19169970-19169972
chr6	83832171	83832173	chr3:46065962-46065964	oviAri3	chr6:83832171-83832173
chr19	53125977	53125979	chr3:46246815-46246817	oviAri3	chr19:53125977-53125979
chr19	53151486	53151488	chr3:46246815-46246817	oviAri3	chr19:53151486-53151488
chr19	53112392	53112394	chr3:46253788-46253790	oviAri3	chr19:53112392-53112394
chr19	53148042	53148044	chr3:46253788-46253790	oviAri3	chr19:53148042-53148044
chr2	5744337	5744339	chr6:151572805-151572807	oviAri3	chr2:5744337-5744339
chr8	74930159	74930161	chr6:151572805-151572807	oviAri3	chr8:74930159-74930161
Anc06refChr24848	97156	97157	chr11:120754722-120754724	oviBos	Anc06refChr24848:97156-97157
Anc06refChr24848	97158	97159	chr11:120754722-120754724	oviBos	Anc06refChr24848:97158-97159
Anc06refChr19226	106833	106834	chr17:43854339-43854341	oviBos	Anc06refChr19226:106833-106834
Anc06refChr19226	106831	106832	chr17:43854339-43854341	oviBos	Anc06refChr19226:106831-106832
Anc06refChr19226	49143	49144	chr17:43913314-43913316	oviBos	Anc06refChr19226:49143-49144
Anc06refChr19226	49141	49142	chr17:43913314-43913316	oviBos	Anc06refChr19226:49141-49142
Anc06refChr19225	78588	78589	chr17:43997371-43997373	oviBos	Anc06refChr19225:78588-78589
Anc06refChr19225	78586	78587	chr17:43997371-43997373	oviBos	Anc06refChr19225:78586-78587
Anc06refChr19224	213062	213063	chr17:44088936-44088938	oviBos	Anc06refChr19224:213062-213063
Anc06refChr19224	213059	213060	chr17:44088936-44088938	oviBos	Anc06refChr19224:213059-213060
Anc06refChr18066	559	561	chr3:46065962-46065964	oviBos	Anc06refChr18066:559-561
Anc06refChr25115	68713	68715	chr3:46065962-46065964	oviBos	Anc06refChr25115:68713-68715
Anc06refChr15538	124893	124895	chr3:46065962-46065964	oviBos	Anc06refChr15538:124893-124895
chr1	3634582	3634584	chr1:3740837-3740839	panTro4	chr1:3634582-3634584
chr19	46487222	46487224	chr1:3740837-3740839	panTro4	chr19:46487222-46487224
chr1	94074432	94074434	chr1:93767969-93767971	panTro4	chr1:94074432-94074434
chr1	94076208	94076210	chr1:93767969-93767971	panTro4	chr1:94076208-94076210
chrX	128351779	128351781	chr11:88590108-88590110	panTro4	chrX:128351779-128351781
chr11	86824447	86824449	chr11:88590108-88590110	panTro4	chr11:86824447-86824449
chr17	11747299	11747301	chr17:43666250-43666252	panTro4	chr17:11747299-11747301
chr17	11806028	11806030	chr17:43666250-43666252	panTro4	chr17:11806028-11806030
chr17	11725651	11725653	chr17:43688578-43688580	panTro4	chr17:11725651-11725653
chr17	11782808	11782810	chr17:43688578-43688580	panTro4	chr17:11782808-11782810
chr17	11572958	11572960	chr17:43827430-43827432	panTro4	chr17:11572958-11572960
chr17	11585985	11585987	chr17:43827430-43827432	panTro4	chr17:11585985-11585987
chr17	11569736	11569738	chr17:43830684-43830686	panTro4	chr17:11569736-11569738
chr17	11582763	11582765	chr17:43830684-43830686	panTro4	chr17:11582763-11582765
chr17	11566640	11566642	chr17:43833920-43833922	panTro4	chr17:11566640-11566642
chr17	11579667	11579669	chr17:43833920-43833922	panTro4	chr17:11579667-11579669
chr17	11562535	11562537	chr17:43836577-43836579	panTro4	chr17:11562535-11562537
chr17	11563984	11563986	chr17:43836577-43836579	panTro4	chr17:11563984-11563986
chr17	11577011	11577013	chr17:43836577-43836579	panTro4	chr17:11577011-11577013
chr17	11464098	11464100	chr17:43934015-43934017	panTro4	chr17:11464098-11464100
chr17_AACZ03174640_random	1682	1684	chr17:43934015-43934017	panTro4	chr17_AACZ03174640_random:1682-1684
chr17	11343256	11343258	chr17:44050281-44050283	panTro4	chr17:11343256-11343258
chr17	11347066	11347068	chr17:44050281-44050283	panTro4	chr17:11347066-11347068
chr17	10455583	10455585	chr17:44167728-44167730	panTro4	chr17:10455583-10455585
chr17	11228893	11228895	chr17:44167728-44167730	panTro4	chr17:11228893-11228895
chr17	10452881	10452883	chr17:44170017-44170019	panTro4	chr17:10452881-10452883
chr17	11226593	11226595	chr17:44170017-44170019	panTro4	chr17:11226593-11226595
chr17	10450231	10450233	chr17:44172697-44172699	panTro4	chr17:10450231-10450233
chr17	11223939	11223941	chr17:44172697-44172699	panTro4	chr17:11223939-11223941
chr17	10445002	10445004	chr17:44179968-44179970	panTro4	chr17:10445002-10445004
chr17	11216926	11216928	chr17:44179968-44179970	panTro4	chr17:11216926-11216928
chr17	10443014	10443016	chr17:44181932-44181934	panTro4	chr17:10443014-10443016
chr17	11214979	11214981	chr17:44181932-44181934	panTro4	chr17:11214979-11214981
chr17	10436963	10436965	chr17:44285141-44285143	panTro4	chr17:10436963-10436965
chr17	11110511	11110513	chr17:44285141-44285143	panTro4	chr17:11110511-11110513
