chr	start	end	species_loc	score	strand	species	hg19_loc	hg19_loc_original
chr1	155105881	155105882	3:89273137-89273138	0	.	C57B6J	chr1:155105881-155105882	chr1:155105881-155105883
chr1	155105882	155105883	3:89273104-89273105	0	.	C57B6J	chr1:155105882-155105883	chr1:155105881-155105883
chr11	88082519	88082521	5:34417295-34417297	0	.	C57B6J	chr11:88082519-88082521	chr11:88082519-88082521
chr11	88082519	88082521	7:88270393-88270395	0	.	C57B6J	chr11:88082519-88082521	chr11:88082519-88082521
chr16	56148564	56148566	8:93738330-93738332	0	.	C57B6J	chr16:56148564-56148566	chr16:56148564-56148566
chr16	56148564	56148566	8:93738762-93738764	0	.	C57B6J	chr16:56148564-56148566	chr16:56148564-56148566
chr17	43811672	43811674	11:104086757-104086759	0	.	C57B6J	chr17:43811672-43811674	chr17:43811672-43811674
chr17_ctg5_hap1	1055782	1055784	11:104086757-104086759	0	.	C57B6J	chr17_ctg5_hap1:1055782-1055784	chr17:43811672-43811674
chr17	43811672	43811673	16:52006055-52006056	0	.	C57B6J	chr17:43811672-43811673	chr17:43811672-43811674
chr17_ctg5_hap1	1055783	1055784	16:52006055-52006056	0	.	C57B6J	chr17_ctg5_hap1:1055783-1055784	chr17:43811672-43811674
chr17	44109187	44109188	11:104335271-104335272	0	.	C57B6J	chr17:44109187-44109188	chr17:44109187-44109189
chr17_ctg5_hap1	758788	758789	11:104335271-104335272	0	.	C57B6J	chr17_ctg5_hap1:758788-758789	chr17:44109187-44109189
chr17	44109188	44109189	11:104335274-104335275	0	.	C57B6J	chr17:44109188-44109189	chr17:44109187-44109189
chr17_ctg5_hap1	758787	758788	11:104335274-104335275	0	.	C57B6J	chr17_ctg5_hap1:758787-758788	chr17:44109187-44109189
chr3	46246952	46246954	9:123965659-123965661	0	.	C57B6J	chr3:46246952-46246954	chr3:46246952-46246954
chr3	46246952	46246954	9:123979633-123979635	0	.	C57B6J	chr3:46246952-46246954	chr3:46246952-46246954
chr3	46250583	46250584	9:123969343-123969344	0	.	C57B6J	chr3:46250583-46250584	chr3:46250583-46250585
chr3	46250584	46250585	9:123969345-123969346	0	.	C57B6J	chr3:46250584-46250585	chr3:46250583-46250585
chr7	139657885	139657886	6:39023401-39023402	0	.	C57B6J	chr7:139657885-139657886	chr7:139657885-139657887
chr7	139657886	139657887	6:39023409-39023410	0	.	C57B6J	chr7:139657886-139657887	chr7:139657885-139657887
chr1	151341569	151341571	3:94697398-94697400	0	.	C57B6J	chr1:151341569-151341571	chr1:151341569-151341571
chr1	151341569	151341571	3:94937301-94937303	0	.	C57B6J	chr1:151341569-151341571	chr1:151341569-151341571
chr12	113357441	113357443	15:38577810-38577812	0	.	C57B6J	chr12:113357441-113357443	chr12:113357441-113357443
chr12	113357441	113357443	5:120786831-120786833	0	.	C57B6J	chr12:113357441-113357443	chr12:113357441-113357443
chr12	113357441	113357443	5:120800956-120800958	0	.	C57B6J	chr12:113357441-113357443	chr12:113357441-113357443
chr12	113357441	113357443	5:120823721-120823723	0	.	C57B6J	chr12:113357441-113357443	chr12:113357441-113357443
chr12	113357441	113357443	5:120857704-120857706	0	.	C57B6J	chr12:113357441-113357443	chr12:113357441-113357443
chr12	113357441	113357443	5:120873021-120873023	0	.	C57B6J	chr12:113357441-113357443	chr12:113357441-113357443
chr12	113357441	113357443	5:120921141-120921143	0	.	C57B6J	chr12:113357441-113357443	chr12:113357441-113357443
chr12	113357441	113357443	5:120926563-120926565	0	.	C57B6J	chr12:113357441-113357443	chr12:113357441-113357443
chr12	113357441	113357443	6:18295309-18295311	0	.	C57B6J	chr12:113357441-113357443	chr12:113357441-113357443
chr10	133781292	133781294	1:63267658-63267660	0	.	C57B6J	chr10:133781292-133781294	chr14:28735075-28735077
chr14	28735075	28735077	1:63267658-63267660	0	.	C57B6J	chr14:28735075-28735077	chr14:28735075-28735077
chr10	133781292	133781294	14:44266249-44266251	0	.	C57B6J	chr10:133781292-133781294	chr14:28735075-28735077
chr14	28735075	28735077	14:44266249-44266251	0	.	C57B6J	chr14:28735075-28735077	chr14:28735075-28735077
chr10	133781292	133781294	14:44597872-44597874	0	.	C57B6J	chr10:133781292-133781294	chr14:28735075-28735077
chr14	28735075	28735077	14:44597872-44597874	0	.	C57B6J	chr14:28735075-28735077	chr14:28735075-28735077
chr10	133781292	133781294	3:144729096-144729098	0	.	C57B6J	chr10:133781292-133781294	chr14:28735075-28735077
chr14	28735075	28735077	3:144729096-144729098	0	.	C57B6J	chr14:28735075-28735077	chr14:28735075-28735077
chr10	133781292	133781294	7:138891237-138891239	0	.	C57B6J	chr10:133781292-133781294	chr14:28735075-28735077
chr14	28735075	28735077	7:138891237-138891239	0	.	C57B6J	chr14:28735075-28735077	chr14:28735075-28735077
chr17	43846667	43846668	11:104115757-104115758	0	.	C57B6J	chr17:43846667-43846668	chr17:43846667-43846669
chr17_ctg5_hap1	1020900	1020901	11:104115757-104115758	0	.	C57B6J	chr17_ctg5_hap1:1020900-1020901	chr17:43846667-43846669
chr17	43846668	43846669	11:104116137-104116138	0	.	C57B6J	chr17:43846668-43846669	chr17:43846667-43846669
chr17_ctg5_hap1	1020899	1020900	11:104116137-104116138	0	.	C57B6J	chr17_ctg5_hap1:1020899-1020900	chr17:43846667-43846669
chr17	43910261	43910262	11:104172689-104172690	0	.	C57B6J	chr17:43910261-43910262	chr17:43910261-43910263
chr17_ctg5_hap1	957247	957248	11:104172689-104172690	0	.	C57B6J	chr17_ctg5_hap1:957247-957248	chr17:43910261-43910263
chr17	43910262	43910263	11:104172691-104172692	0	.	C57B6J	chr17:43910262-43910263	chr17:43910261-43910263
chr17_ctg5_hap1	957246	957247	11:104172691-104172692	0	.	C57B6J	chr17_ctg5_hap1:957246-957247	chr17:43910261-43910263
chr17	43978305	43978306	11:104237980-104237981	0	.	C57B6J	chr17:43978305-43978306	chr17:43978305-43978307
chr17_ctg5_hap1	889280	889281	11:104237980-104237981	0	.	C57B6J	chr17_ctg5_hap1:889280-889281	chr17:43978305-43978307
chr17	43978306	43978307	11:104237985-104237986	0	.	C57B6J	chr17:43978306-43978307	chr17:43978305-43978307
chr17_ctg5_hap1	889279	889280	11:104237985-104237986	0	.	C57B6J	chr17_ctg5_hap1:889279-889280	chr17:43978305-43978307
chr17	44089562	44089563	11:104319596-104319597	0	.	C57B6J	chr17:44089562-44089563	chr17:44089562-44089564
chr17_ctg5_hap1	778430	778431	11:104319596-104319597	0	.	C57B6J	chr17_ctg5_hap1:778430-778431	chr17:44089562-44089564
chr17	44089563	44089564	11:104319598-104319599	0	.	C57B6J	chr17:44089563-44089564	chr17:44089562-44089564
chr17_ctg5_hap1	778429	778430	11:104319598-104319599	0	.	C57B6J	chr17_ctg5_hap1:778429-778430	chr17:44089562-44089564
chr2	126512185	126512187	1:112576270-112576272	0	.	C57B6J	chr2:126512185-126512187	chr2:126512185-126512187
chr2	126512185	126512187	1:117319010-117319012	0	.	C57B6J	chr2:126512185-126512187	chr2:126512185-126512187
chr3	46001226	46001227	9:123823531-123823532	0	.	C57B6J	chr3:46001226-46001227	chr3:46001226-46001228
chr3	46001227	46001228	9:123823533-123823534	0	.	C57B6J	chr3:46001227-46001228	chr3:46001226-46001228
chr3	46247095	46247097	9:123965789-123965791	0	.	C57B6J	chr3:46247095-46247097	chr3:46247095-46247097
chr3	46247095	46247097	9:123979763-123979765	0	.	C57B6J	chr3:46247095-46247097	chr3:46247095-46247097
chr3	46436955	46436957	9:111064644-111064646	0	.	C57B6J	chr3:46436955-46436957	chr3:46436955-46436957
chr3	46436955	46436957	9:124141956-124141958	0	.	C57B6J	chr3:46436955-46436957	chr3:46436955-46436957
chr17	43735477	43735478	11:104011183-104011184	0	.	C57B6J	chr17:43735477-43735478	chr17:43735477-43735479
chr17_ctg5_hap1	1131840	1131841	11:104011183-104011184	0	.	C57B6J	chr17_ctg5_hap1:1131840-1131841	chr17:43735477-43735479
chr17	43735478	43735479	11:104011185-104011186	0	.	C57B6J	chr17:43735478-43735479	chr17:43735477-43735479
chr17_ctg5_hap1	1131839	1131840	11:104011185-104011186	0	.	C57B6J	chr17_ctg5_hap1:1131839-1131840	chr17:43735477-43735479
chr2	166930980	166930981	2:66351971-66351972	0	.	C57B6J	chr2:166930980-166930981	chr2:166930980-166930982
chr2	166930981	166930982	2:66351973-66351974	0	.	C57B6J	chr2:166930981-166930982	chr2:166930980-166930982
chr3	46247455	46247457	9:123966045-123966047	0	.	C57B6J	chr3:46247455-46247457	chr3:46247455-46247457
chr3	46247455	46247457	9:123980021-123980023	0	.	C57B6J	chr3:46247455-46247457	chr3:46247455-46247457
chr3	46437399	46437400	9:111064023-111064024	0	.	C57B6J	chr3:46437399-46437400	chr3:46437399-46437401
chr3	46437399	46437400	9:124143380-124143381	0	.	C57B6J	chr3:46437399-46437400	chr3:46437399-46437401
chr14	66718840	66718842	12:77953462-77953464	0	.	C57B6J	chr14:66718840-66718842	chr14:66718840-66718842
chr14	66718840	66718842	12:77954472-77954474	0	.	C57B6J	chr14:66718840-66718842	chr14:66718840-66718842
chr16	56138608	56138609	8:93725953-93725954	0	.	C57B6J	chr16:56138608-56138609	chr16:56138608-56138610
chr16	56138609	56138610	8:93725955-93725956	0	.	C57B6J	chr16:56138609-56138610	chr16:56138608-56138610
chr17	43731718	43731719	11:104006608-104006609	0	.	C57B6J	chr17:43731718-43731719	chr17:43731718-43731720
chr17_ctg5_hap1	1135597	1135598	11:104006608-104006609	0	.	C57B6J	chr17_ctg5_hap1:1135597-1135598	chr17:43731718-43731720
chr17	43731719	43731720	11:104006611-104006612	0	.	C57B6J	chr17:43731719-43731720	chr17:43731718-43731720
chr17_ctg5_hap1	1135596	1135597	11:104006611-104006612	0	.	C57B6J	chr17_ctg5_hap1:1135596-1135597	chr17:43731718-43731720
chr17	43858481	43858482	11:104129858-104129859	0	.	C57B6J	chr17:43858481-43858482	chr17:43858481-43858483
chr17_ctg5_hap1	1009049	1009050	11:104129858-104129859	0	.	C57B6J	chr17_ctg5_hap1:1009049-1009050	chr17:43858481-43858483
chr17	43858482	43858483	11:104129862-104129863	0	.	C57B6J	chr17:43858482-43858483	chr17:43858481-43858483
chr17_ctg5_hap1	1009048	1009049	11:104129862-104129863	0	.	C57B6J	chr17_ctg5_hap1:1009048-1009049	chr17:43858481-43858483
chr17	43960019	43960020	11:104219511-104219512	0	.	C57B6J	chr17:43960019-43960020	chr17:43960019-43960021
chr17_ctg5_hap1	907584	907585	11:104219511-104219512	0	.	C57B6J	chr17_ctg5_hap1:907584-907585	chr17:43960019-43960021
chr17	43960020	43960021	11:104219517-104219518	0	.	C57B6J	chr17:43960020-43960021	chr17:43960019-43960021
chr17_ctg5_hap1	907583	907584	11:104219517-104219518	0	.	C57B6J	chr17_ctg5_hap1:907583-907584	chr17:43960019-43960021
chr2	115647255	115647256	1:124318674-124318675	0	.	C57B6J	chr2:115647255-115647256	chr2:115647255-115647257
chr2	115647256	115647257	1:124318670-124318671	0	.	C57B6J	chr2:115647256-115647257	chr2:115647255-115647257
chr3	46007701	46007702	9:123828123-123828124	0	.	C57B6J	chr3:46007701-46007702	chr3:46007701-46007703
chr3	46007702	46007703	9:123828129-123828130	0	.	C57B6J	chr3:46007702-46007703	chr3:46007701-46007703
chr3	46247583	46247585	9:123966518-123966520	0	.	C57B6J	chr3:46247583-46247585	chr3:46247583-46247585
chr3	46247583	46247585	9:123980496-123980498	0	.	C57B6J	chr3:46247583-46247585	chr3:46247583-46247585
chr16	56139045	56139046	8:93726364-93726365	0	.	C57B6J	chr16:56139045-56139046	chr16:56139045-56139047
chr16	56139046	56139047	8:93726367-93726368	0	.	C57B6J	chr16:56139046-56139047	chr16:56139045-56139047
chr17	43774958	43774959	11:104048348-104048349	0	.	C57B6J	chr17:43774958-43774959	chr17:43774958-43774960
chr17_ctg5_hap1	1092354	1092355	11:104048348-104048349	0	.	C57B6J	chr17_ctg5_hap1:1092354-1092355	chr17:43774958-43774960
chr17	43774959	43774960	11:104048351-104048352	0	.	C57B6J	chr17:43774959-43774960	chr17:43774958-43774960
chr17_ctg5_hap1	1092353	1092354	11:104048351-104048352	0	.	C57B6J	chr17_ctg5_hap1:1092353-1092354	chr17:43774958-43774960
chr17	43778405	43778406	11:104051286-104051287	0	.	C57B6J	chr17:43778405-43778406	chr17:43778405-43778407
chr17_ctg5_hap1	1088929	1088930	11:104051286-104051287	0	.	C57B6J	chr17_ctg5_hap1:1088929-1088930	chr17:43778405-43778407
chr17	43778406	43778407	11:104051298-104051299	0	.	C57B6J	chr17:43778406-43778407	chr17:43778405-43778407
chr17_ctg5_hap1	1088928	1088929	11:104051298-104051299	0	.	C57B6J	chr17_ctg5_hap1:1088928-1088929	chr17:43778405-43778407
chr3	45841937	45841939	9:123632942-123632944	0	.	C57B6J	chr3:45841937-45841939	chr3:45841937-45841939
chr3	45841937	45841939	9:123682189-123682191	0	.	C57B6J	chr3:45841937-45841939	chr3:45841937-45841939
chr3	46138106	46138108	1:22558838-22558840	0	.	C57B6J	chr3:46138106-46138108	chr3:46138106-46138108
chr3	46138106	46138108	9:123933308-123933310	0	.	C57B6J	chr3:46138106-46138108	chr3:46138106-46138108
chr3	46248223	46248225	9:123967104-123967106	0	.	C57B6J	chr3:46248223-46248225	chr3:46248223-46248225
chr3	46248223	46248225	9:123981082-123981084	0	.	C57B6J	chr3:46248223-46248225	chr3:46248223-46248225
chr3	46248223	46248225	X:170008775-170008777	0	.	C57B6J	chr3:46248223-46248225	chr3:46248223-46248225
chr3	46248223	46248225	Y:90783691-90783693	0	.	C57B6J	chr3:46248223-46248225	chr3:46248223-46248225
chr5	91803049	91803050	13:79593806-79593807	0	.	C57B6J	chr5:91803049-91803050	chr5:91803049-91803051
chr5	91803050	91803051	13:79593787-79593788	0	.	C57B6J	chr5:91803050-91803051	chr5:91803049-91803051
chr5	163125304	163125305	11:40467726-40467727	0	.	C57B6J	chr5:163125304-163125305	chr5:163125304-163125306
chr5	163125305	163125306	11:40467703-40467704	0	.	C57B6J	chr5:163125305-163125306	chr5:163125304-163125306
chr17	43713924	43713926	11:103982720-103982722	0	.	C57B6J	chr17:43713924-43713926	chr17:43713924-43713926
chr17_ctg5_hap1	1153355	1153357	11:103982720-103982722	0	.	C57B6J	chr17_ctg5_hap1:1153355-1153357	chr17:43713924-43713926
chr17	43713924	43713926	11:103983885-103983887	0	.	C57B6J	chr17:43713924-43713926	chr17:43713924-43713926
chr17_ctg5_hap1	1153355	1153357	11:103983885-103983887	0	.	C57B6J	chr17_ctg5_hap1:1153355-1153357	chr17:43713924-43713926
chr17	43713924	43713926	2:87123683-87123685	0	.	C57B6J	chr17:43713924-43713926	chr17:43713924-43713926
chr17_ctg5_hap1	1153355	1153357	2:87123683-87123685	0	.	C57B6J	chr17_ctg5_hap1:1153355-1153357	chr17:43713924-43713926
chr17	43713924	43713926	2:125729355-125729357	0	.	C57B6J	chr17:43713924-43713926	chr17:43713924-43713926
chr17_ctg5_hap1	1153355	1153357	2:125729355-125729357	0	.	C57B6J	chr17_ctg5_hap1:1153355-1153357	chr17:43713924-43713926
chr17	43839252	43839253	11:104109466-104109467	0	.	C57B6J	chr17:43839252-43839253	chr17:43839252-43839254
chr17_ctg5_hap1	1028323	1028324	11:104109466-104109467	0	.	C57B6J	chr17_ctg5_hap1:1028323-1028324	chr17:43839252-43839254
chr17	43839253	43839254	11:104109468-104109469	0	.	C57B6J	chr17:43839253-43839254	chr17:43839252-43839254
chr17_ctg5_hap1	1028322	1028323	11:104109468-104109469	0	.	C57B6J	chr17_ctg5_hap1:1028322-1028323	chr17:43839252-43839254
chr17	43894509	43894510	11:104159774-104159775	0	.	C57B6J	chr17:43894509-43894510	chr17:43894509-43894511
chr17_ctg5_hap1	973031	973032	11:104159774-104159775	0	.	C57B6J	chr17_ctg5_hap1:973031-973032	chr17:43894509-43894511
chr17	43894510	43894511	11:104159776-104159777	0	.	C57B6J	chr17:43894510-43894511	chr17:43894509-43894511
chr17_ctg5_hap1	973030	973031	11:104159776-104159777	0	.	C57B6J	chr17_ctg5_hap1:973030-973031	chr17:43894509-43894511
chr17	43908825	43908826	11:104171055-104171056	0	.	C57B6J	chr17:43908825-43908826	chr17:43908825-43908827
chr17_ctg5_hap1	958695	958696	11:104171055-104171056	0	.	C57B6J	chr17_ctg5_hap1:958695-958696	chr17:43908825-43908827
chr17	43908826	43908827	11:104171060-104171061	0	.	C57B6J	chr17:43908826-43908827	chr17:43908825-43908827
chr17_ctg5_hap1	958694	958695	11:104171060-104171061	0	.	C57B6J	chr17_ctg5_hap1:958694-958695	chr17:43908825-43908827
chr17	44352130	44352131	11:107035506-107035507	0	.	C57B6J	chr17:44352130-44352131	chr17:44352130-44352132
chr17	65978694	65978695	11:107035506-107035507	0	.	C57B6J	chr17:65978694-65978695	chr17:44352130-44352132
chr17_ctg5_hap1	513838	513839	11:107035506-107035507	0	.	C57B6J	chr17_ctg5_hap1:513838-513839	chr17:44352130-44352132
chr17_ctg5_hap1	1219136	1219137	11:107035506-107035507	0	.	C57B6J	chr17_ctg5_hap1:1219136-1219137	chr17:44352130-44352132
chr17_ctg5_hap1	1255247	1255248	11:107035506-107035507	0	.	C57B6J	chr17_ctg5_hap1:1255247-1255248	chr17:44352130-44352132
chr17	44352131	44352132	11:107035513-107035514	0	.	C57B6J	chr17:44352131-44352132	chr17:44352130-44352132
chr17	65978693	65978694	11:107035513-107035514	0	.	C57B6J	chr17:65978693-65978694	chr17:44352130-44352132
chr17_ctg5_hap1	513837	513838	11:107035513-107035514	0	.	C57B6J	chr17_ctg5_hap1:513837-513838	chr17:44352130-44352132
chr17_ctg5_hap1	1219137	1219138	11:107035513-107035514	0	.	C57B6J	chr17_ctg5_hap1:1219137-1219138	chr17:44352130-44352132
chr17_ctg5_hap1	1255246	1255247	11:107035513-107035514	0	.	C57B6J	chr17_ctg5_hap1:1255246-1255247	chr17:44352130-44352132
chr2	49810570	49810571	17:89628439-89628440	0	.	C57B6J	chr2:49810570-49810571	chr2:49810570-49810572
chr2	49810571	49810572	17:89628447-89628448	0	.	C57B6J	chr2:49810571-49810572	chr2:49810570-49810572
chr3	46177161	46177162	9:123953678-123953679	0	.	C57B6J	chr3:46177161-46177162	chr3:46177161-46177163
chr3	46177162	46177163	9:123953682-123953683	0	.	C57B6J	chr3:46177162-46177163	chr3:46177161-46177163
chr5	122863960	122863961	18:53882424-53882425	0	.	C57B6J	chr5:122863960-122863961	chr5:122863960-122863962
chr5	122863961	122863962	18:53882428-53882429	0	.	C57B6J	chr5:122863961-122863962	chr5:122863960-122863962
chr7	50360662	50360663	11:11701514-11701515	0	.	C57B6J	chr7:50360662-50360663	chr7:50360662-50360664
chr7	50360663	50360664	11:11701521-11701522	0	.	C57B6J	chr7:50360663-50360664	chr7:50360662-50360664
chr1	155065626	155065627	3:89305663-89305664	0	.	C57B6J	chr1:155065626-155065627	chr1:155065626-155065628
chr1	155065627	155065628	3:89305661-89305662	0	.	C57B6J	chr1:155065627-155065628	chr1:155065626-155065628
chr5	140050836	140050838	18:36763993-36763995	0	.	C57B6J	chr5:140050836-140050838	chr17:43664334-43664336
chr17	43664334	43664336	18:36763993-36763995	0	.	C57B6J	chr17:43664334-43664336	chr17:43664334-43664336
chr17	44336872	44336874	18:36763993-36763995	0	.	C57B6J	chr17:44336872-44336874	chr17:43664334-43664336
chr17_ctg5_hap1	529067	529069	18:36763993-36763995	0	.	C57B6J	chr17_ctg5_hap1:529067-529069	chr17:43664334-43664336
chr17_ctg5_hap1	1203861	1203863	18:36763993-36763995	0	.	C57B6J	chr17_ctg5_hap1:1203861-1203863	chr17:43664334-43664336
chr17_ctg5_hap1	1423412	1423414	18:36763993-36763995	0	.	C57B6J	chr17_ctg5_hap1:1423412-1423414	chr17:43664334-43664336
chr5	140050836	140050838	5:13880320-13880322	0	.	C57B6J	chr5:140050836-140050838	chr17:43664334-43664336
chr17	43664334	43664336	5:13880320-13880322	0	.	C57B6J	chr17:43664334-43664336	chr17:43664334-43664336
chr17	44336872	44336874	5:13880320-13880322	0	.	C57B6J	chr17:44336872-44336874	chr17:43664334-43664336
chr17_ctg5_hap1	529067	529069	5:13880320-13880322	0	.	C57B6J	chr17_ctg5_hap1:529067-529069	chr17:43664334-43664336
chr17_ctg5_hap1	1203861	1203863	5:13880320-13880322	0	.	C57B6J	chr17_ctg5_hap1:1203861-1203863	chr17:43664334-43664336
chr17_ctg5_hap1	1423412	1423414	5:13880320-13880322	0	.	C57B6J	chr17_ctg5_hap1:1423412-1423414	chr17:43664334-43664336
chr17	43714672	43714674	11:103984257-103984259	0	.	C57B6J	chr17:43714672-43714674	chr17:43714672-43714674
chr17_ctg5_hap1	1152606	1152608	11:103984257-103984259	0	.	C57B6J	chr17_ctg5_hap1:1152606-1152608	chr17:43714672-43714674
chr17	43714672	43714674	2:87123310-87123312	0	.	C57B6J	chr17:43714672-43714674	chr17:43714672-43714674
chr17_ctg5_hap1	1152606	1152608	2:87123310-87123312	0	.	C57B6J	chr17_ctg5_hap1:1152606-1152608	chr17:43714672-43714674
chr17	43714672	43714674	2:125728873-125728875	0	.	C57B6J	chr17:43714672-43714674	chr17:43714672-43714674
chr17_ctg5_hap1	1152606	1152608	2:125728873-125728875	0	.	C57B6J	chr17_ctg5_hap1:1152606-1152608	chr17:43714672-43714674
chr17	44271151	44271153	11:104442146-104442148	0	.	C57B6J	chr17:44271151-44271153	chr17:44271151-44271153
chr17_ctg5_hap1	595171	595173	11:104442146-104442148	0	.	C57B6J	chr17_ctg5_hap1:595171-595173	chr17:44271151-44271153
chr17_ctg5_hap1	1323755	1323757	11:104442146-104442148	0	.	C57B6J	chr17_ctg5_hap1:1323755-1323757	chr17:44271151-44271153
chr17	44271151	44271153	11:104442661-104442663	0	.	C57B6J	chr17:44271151-44271153	chr17:44271151-44271153
chr17_ctg5_hap1	595171	595173	11:104442661-104442663	0	.	C57B6J	chr17_ctg5_hap1:595171-595173	chr17:44271151-44271153
chr17_ctg5_hap1	1323755	1323757	11:104442661-104442663	0	.	C57B6J	chr17_ctg5_hap1:1323755-1323757	chr17:44271151-44271153
chr3	46138841	46138842	11:113727082-113727083	0	.	C57B6J	chr3:46138841-46138842	chr3:46138841-46138843
